network,osm:ref:FR:STIF:ExternalCode_Line,stop_id,line_id,osm:ref:FR:STIF,lat,destination,code,name,lon,route_id
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:252750239,Line:Relation:7741077,419693,49.0266442,Goussainville RER,G'bus,École Pasteur,2.4732585,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837540004,Line:Relation:7741077,415750,49.0306092,Goussainville RER,G'bus,Hélène Boucher,2.4490165999999998,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837539998,Line:Relation:7741077,38670,49.032275999999996,Goussainville RER,G'bus,Michel Simon,2.4479287,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837540002,Line:Relation:7741077,38698,49.033831299999996,Goussainville RER,G'bus,Pablo Picasso,2.4490819,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837539990,Line:Relation:7741077,38634,49.0307464,Goussainville RER,G'bus,Madeleine Renaud,2.4492716,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:5320764711,Line:Relation:7741077,38442,49.030343599999995,Goussainville RER,G'bus,Lycée Romain Rolland,2.4557621999999997,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837350647,Line:Relation:7741077,38102,49.033006099999994,Goussainville RER,G'bus,Avenue des Tilleuls,2.458301,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837539994,Line:Relation:7741077,38477,49.0326111,Goussainville RER,G'bus,Collège Robespierre,2.4525402,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837540001,Line:Relation:7741077,38691,49.034550499999995,Goussainville RER,G'bus,Georges Pitard,2.4547018,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837539997,Line:Relation:7741077,38648,49.0361051,Goussainville RER,G'bus,Médiathèque,2.4614898999999997,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837350700,Line:Relation:7741077,37998,49.0368548,Goussainville RER,G'bus,Henri Dunant,2.4640310999999997,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837350652,Line:Relation:7741077,37988,49.0387626,Goussainville RER,G'bus,Descartes,2.4612241,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:345242715,Line:Relation:7741077,38457,49.0416155,Goussainville RER,G'bus,Cachin Blatreux,2.4636214,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837209781,Line:Relation:7741077,38461,49.0408395,Goussainville RER,G'bus,Camélinat,2.4646936,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837540000,Line:Relation:7741077,419717,49.0383758,Goussainville RER,G'bus,École Gabriel Péri,2.4681652,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:837209799,Line:Relation:7741077,419511,49.0365709,Goussainville RER,G'bus,Résidence Ambroise Croizat,2.4781942999999997,Route:Relation:107353
Les Courriers de l'Île-de-France,014014099:Gbus,StopPoint:Node:252857718,Line:Relation:7741077,38013,49.0320695,Goussainville RER,G'bus,Mairie,2.474189,Route:Relation:107353
