,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
1,Keolis Seine Val-De-Marne,StopPoint:4:134,48.739734,2.418538,002002002:CEN,10291,Villeneuve-le-roi Gare RER,Louis Jarrige,StopPoint:Node:4324200432,2.4201029999999997,48.7398545,002002002:CEN,10291,Gare de Villeneuve-le-Roi,Louis Jarrige,115.88654139973481
156,Mobicaps,StopPoint:57:1012,48.698523,2.205734,006006010:1,21828,Gare d'Igny,Cimetière d'Orsay,StopPoint:Node:3842669990,2.20785,48.6988917,006006010:1,21828,Gare d’Igny RER,Cimetière d'Orsay,161.06913059850865
229,Mobicaps,StopPoint:57:980,48.696354,2.195325,006006010:1,11389,Gare d'Igny,Bois de la Grille Noire,StopPoint:Node:1932103471,2.194091,48.6962902,006006010:1,11389,Gare d’Igny RER,Bois de la Grille Noire,91.11828928828528
307,Transdev Ile-de-France Ecquevilly,StopPoint:21:395,48.852182,2.046903,011011017:17,32661,GARE RIVE DROITE,Tuilerie,StopPoint:Node:5404137370,2.0450616999999998,48.8522737,011011017:17,32661,Gare de Versailles Rive Droite,Tuilerie,135.51359420315933
309,Transdev Ile-de-France Ecquevilly,StopPoint:21:398,48.852962,2.041303,011011017:17,32664,GARE RIVE DROITE,Tuilerie Bignon,StopPoint:Node:5404112407,2.0424389,48.8527041,011011017:17,32664,Gare de Versailles Rive Droite,Tuilerie Bignon,88.15622646656507
328,Transdev Ile-de-France Ecquevilly,StopPoint:21:178,48.886348,1.923934,011011017:17S,32497,GARE RIVE DROITE,Carrefour 307,StopPoint:Node:1237664309,1.9224515,48.8863378,011011017:17S,32497,Gare de Versailles Rive Droite,Carrefour 307,108.72971113938638
344,Transdev Ile-de-France Ecquevilly,StopPoint:21:395,48.852182,2.046903,011011017:17S,32661,GARE RIVE DROITE,Tuilerie,StopPoint:Node:5404137370,2.0450616999999998,48.8522737,011011017:17S,32661,Gare de Versailles Rive Droite,Tuilerie,135.51359420315933
347,Transdev Ile-de-France Ecquevilly,StopPoint:21:398,48.852962,2.041303,011011017:17S,32664,GARE RIVE DROITE,Tuilerie Bignon,StopPoint:Node:5404112407,2.0424389,48.8527041,011011017:17S,32664,Gare de Versailles Rive Droite,Tuilerie Bignon,88.15622646656507
362,Transdev Ile-de-France Ecquevilly,StopPoint:21:816,48.896873,1.868586,011011017:17S,32931,GARE RIVE DROITE,Maurice Cayen,StopPoint:Node:4590664329,1.8700721999999999,48.894541,011011017:17S,32931,Gare de Versailles Rive Droite,Maurice Cayen,281.30210030257695
427,CIF,StopPoint:8:30109,48.966234,2.409218,014014011:11,38470,Victor Basch,Croix Buard,StopPoint:Node:2752181469,2.4084228,48.9656865,014014011:11,38470,Victor Basch Goussainville,Croix Buard,84.24650101106201
446,CIF,StopPoint:8:30185,49.037832,2.467995,014014011:11,37990,Victor Basch,École Gabriel péri,StopPoint:Node:345242675,2.4674704,49.0383815,014014011:11,37990,Victor Basch Goussainville,École Gabriel Péri,72.15041459054191
455,CIF,StopPoint:8:30218,49.011561,2.472218,014014011:11,38797,Victor Basch,Le Moulin,StopPoint:Node:837569719,2.4725973,49.0099568,014014011:11,38797,Victor Basch Goussainville,Le Moulin,180.5480133005709
498,CIF,StopPoint:8:30185,49.037832,2.467995,014014032:32,37990,Victor Basch,École Gabriel péri,StopPoint:Node:345242675,2.4674704,49.0383815,014014032:32,37990,Goussainville Victor Basch,École Gabriel Péri,72.15041459054191
517,CIF,StopPoint:8:30218,49.011561,2.472218,014014032:32,38797,Victor Basch,Le Moulin,StopPoint:Node:837569719,2.4725973,49.0099568,014014032:32,38797,Goussainville Victor Basch,Le Moulin,180.5480133005709
526,CIF,StopPoint:8:30550,49.010838,2.483431,014014032:32,38447,Victor Basch,Avenue Bocquet,StopPoint:Node:837569736,2.4825084,49.010194999999996,014014032:32,38447,Goussainville Victor Basch,Avenue Bocquet,98.3302808567786
559,CIF,StopPoint:8:30167,49.022577,2.465278,014014099:Gbus,38478,Goussainville RER D,Carrefour de l Europe,StopPoint:Node:372723106,2.4653799,49.021687,014014099:Gbus,38478,Goussainville RER,Carrefour de l'Europe,99.25724973518972
586,CIF,StopPoint:8:30185,49.037832,2.467995,014014104:R104,37990,Sécurité Sociale,École Gabriel péri,StopPoint:Node:345242675,2.4674704,49.0383815,014014104:R104,37990,Sécurité Sociale (Goussainville),École Gabriel Péri,72.15041459054191
