stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopArea:59563,"Créteil l'Echat / Hôpital Henri Mondor",,48.796797,2.448955,,,1,,
StopArea:59:6741296,"CROUS",,48.841767,2.584038,,,1,,
StopArea:59:6741356,"Ampère",,48.844827,2.583025,,,1,,
StopArea:59:6741352,"Bois de Grâce",,48.848311,2.58553,,,1,,
StopArea:59:5231544,"Mairie",,48.852005,2.601212,,,1,,
StopArea:92:4,"QUATRE PAVES",,48.851634,2.621405,,,1,,
StopArea:8775837,"GARE DE TORCY",,48.839034,2.65477,,,1,,
StopArea:8799150,"Patte d'Oie",,48.703227,2.430012,,,1,,
StopArea:43:240,"Salvador Allende",,48.693925,2.430236,,,1,,
StopArea:43:101,"Orée de Sénart",,48.686153,2.418167,,,1,,
StopArea:8799149,"Eglise",,48.686863,2.408955,,,1,,
StopArea:8754524,"GARE DE JUVISY",,48.68952,2.383433,,,1,,
StopArea:59:6251971,"Cottage",,48.705622,2.393218,,,1,,
StopArea:59:5816781,"Albert Sarrault",,48.708516,2.382868,,,1,,
StopArea:59844,"Porte de L'Essonne",,48.714093,2.371853,,,1,,
StopArea:8749571,"Aéroport Orly Ouest",,48.728341,2.360105,,,1,,
StopArea:59841,"Aéroport Orly Sud",,48.72916,2.369032,,,1,,
StopArea:8768211,"GARE DE YERRES",,48.706887,2.483341,,,1,,
StopArea:32:45404,"PLACE GAMBETTA",,48.70154,2.485942,,,1,,
StopArea:32:45209,"PAVILLON FLORE",,48.700796,2.466656,,,1,,
StopArea:56:11767,"La Forêt",,48.696236,2.45602,,,1,,
StopArea:43:150,"Prairie de l'Oly",,48.703408,2.441775,,,1,,
StopArea:43:93,"Marché",,48.686072,2.409202,,,1,,
StopArea:59:6251821,"Pont de Rungis",,48.744334,2.364658,,,1,,
StopArea:59:4314838,"LA BELLE EPINE",,48.755405,2.368927,,,1,,
StopArea:91:29,"Marché d'Intérêt National",,48.763094,2.358128,,,1,,
StopArea:32:45213,"SAINT-JOSEPH",,48.699748,2.468319,,,1,,
StopArea:8754619,"GARE DE PONT DE RUNGIS",,48.747556,2.372502,,,1,,
StopArea:8738102,"PORTE MAILLOT",,48.877923,2.282851,,,1,,
StopArea:90:2,"Aéroport Paris Beauvais",,49.459342,2.112903,,,1,,
StopArea:8738668,"GARE DES MUREAUX",,48.992909,1.913047,,,1,,
StopArea:21:450,"Bougimonts",,48.986705,1.91356,,,1,,
StopArea:21:822,"VIGNE BLANCHE",,48.981756,1.912314,,,1,,
StopArea:8798751,"Les Sablons",,48.976809,1.915012,,,1,,
StopArea:89:16,"Chamoiserie/Comtesse RD43",,48.973213,1.917767,,,1,,
StopArea:89:18,"Presle",,48.950525,1.928007,,,1,,
StopArea:21:404,"CONFORAMA",,48.926619,1.986957,,,1,,
StopArea:89:21,"Rond Point de Grignon",,48.842963,1.944616,,,1,,
StopArea:8739342,"GARE DE PLAISIR GRIGNON",,48.831562,1.943961,,,1,,
StopArea:89:25,"Rond Point du Petit Saint Cloud",,48.829511,1.951177,,,1,,
StopArea:41:6547,"Prague",,48.795454,1.968077,,,1,,
StopArea:22:9670,"De Lattre de Tassigny",,48.797648,1.974777,,,1,,
StopArea:41:6060,"Gay Lussac",,48.792171,1.975053,,,1,,
StopArea:89:33,"Base de Loisirs",,48.783563,1.992819,,,1,,
StopArea:41:6652,"Île de Loisirs - Centre équestre",,48.780526,2.002876,,,1,,
StopArea:8739384,"GARE DE ST QUENTIN EN YVELINES",,48.787764,2.045243,,,1,,
StopArea:21:600,"Toys'R'us",,48.927175,1.985851,,,1,,
StopArea:89:3,"La Défense / Terminal Jules Verne",,48.891276,2.242195,,,1,,
StopArea:8738665,"GARE DE VERNOUILLET VERNEUIL",,48.98106,1.982586,,,1,,
StopArea:58:418,"Jean Jaurès",,48.974711,1.986872,,,1,,
StopArea:89:4,"La Défense / Terminal Jules Verne",,48.891276,2.242195,,,1,,
StopArea:21:402,"ART DE VIVRE",,48.925338,1.99176,,,1,,
StopArea:8727146,"Aéroport CDG Terminal 3 / Roissypole",,49.010334,2.559552,,,1,,
StopArea:20:482,"Zone Technique",,49.01133,2.532922,,,1,,
StopArea:6:288,"Marie Feuchere",,49.045962,2.509333,,,1,,
StopArea:6:290,"Parc",,49.047916,2.506524,,,1,,
StopArea:88:1977,"Square Degas",,49.04352,2.504315,,,1,,
StopArea:8727625,"GARE DE LOUVRES",,49.049387,2.501752,,,1,,
StopArea:88:871,"La pépinière",,49.054128,2.501533,,,1,,
StopArea:88:893,"Route de Marly",,49.058074,2.500534,,,1,,
StopArea:88:891,"Gymnase",,49.061315,2.499525,,,1,,
StopArea:88:888,"Salle des Fêtes",,49.075981,2.498833,,,1,,
StopArea:88:883,"Mairie",,49.078663,2.499149,,,1,,
StopArea:88:886,"Place du Vert Clos",,49.080212,2.502916,,,1,,
StopArea:88:878,"Rue des Prés",,49.083245,2.504745,,,1,,
StopArea:88:882,"Hameau de prieuré",,49.084469,2.504161,,,1,,
StopArea:88:880,"Ecole de la Garenne",,49.084958,2.501891,,,1,,
StopArea:88:876,"Cimetière",,49.086702,2.500871,,,1,,
StopArea:88:881,"Hameau des Cèdres",,49.090027,2.501073,,,1,,
StopArea:88:885,"Place du 19 mars",,49.092425,2.502162,,,1,,
StopArea:88:781,"Poteau de Marly",,49.094202,2.502589,,,1,,
StopArea:88:773,"Bellevue",,49.094644,2.499206,,,1,,
StopArea:88:779,"Haute Grève",,49.096421,2.50355,,,1,,
StopArea:88:783,"Rue de l'Epine",,49.098625,2.504843,,,1,,
StopArea:88:769,"Avenue du Large",,49.099194,2.509484,,,1,,
StopArea:88:777,"Gendarmerie",,49.099031,2.513349,,,1,,
StopArea:88:775,"Centre Commercial / Mairie",,49.100115,2.515898,,,1,,
StopArea:88:771,"Beaumont",,49.102246,2.514694,,,1,,
StopArea:8727626,"GARE DE SURVILLIERS FOSSES",,49.099552,2.525393,,,1,,
StopArea:88:1966,"Centre Commercial de Fosses",,49.100482,2.528147,,,1,,
StopArea:88:1997,"Petit Argenteuil",,49.099275,2.532652,,,1,,
StopArea:88:1995,"Monument",,49.098263,2.538751,,,1,,
StopArea:88:1993,"Mairie",,49.097577,2.543346,,,1,,
StopArea:88:1987,"Colombier",,49.101737,2.543287,,,1,,
StopArea:88:1991,"Jardin Frémin",,49.102212,2.544439,,,1,,
StopArea:88:1985,"Chemin du gué",,49.101627,2.547119,,,1,,
StopArea:88:1989,"Les Grands Prés",,49.099707,2.548123,,,1,,
StopArea:88:877,"Cité Jardins",,49.091298,2.504666,,,1,,
StopArea:88:874,"Bois Maillard",,49.089139,2.508372,,,1,,
StopArea:88:875,"Collège Françoise Dolto",,49.086223,2.506143,,,1,,
StopArea:88:890,"Général Leclerc",,49.057031,2.500654,,,1,,
StopArea:88:866,"Copenhague",,49.052614,2.500289,,,1,,
StopArea:88:865,"Centre Commercial",,49.050299,2.499771,,,1,,
StopArea:88:1970,"Les Coteaux",,49.028856,2.480818,,,1,,
StopArea:88:863,"Victor Basch",,49.030263,2.474931,,,1,,
StopArea:88:847,"Mairie",,49.03211,2.474062,,,1,,
StopArea:88:1975,"Résidence Ambroise Croizat",,49.036304,2.478422,,,1,,
StopArea:88:837,"La Charmeuse",,49.034234,2.471997,,,1,,
StopArea:88:854,"Les Montagnettes",,49.035902,2.470224,,,1,,
StopArea:88:843,"Ecole Gabriel Péri",,49.038044,2.467906,,,1,,
StopArea:88:845,"Henri Dunant",,49.037064,2.463865,,,1,,
StopArea:88:1972,"Georges Brassens",,49.042987,2.467399,,,1,,
StopArea:88:841,"Descartes",,49.038824,2.461163,,,1,,
StopArea:88:852,"Montgolfier",,49.039002,2.458211,,,1,,
StopArea:88:835,"Chapellerie",,49.038039,2.455427,,,1,,
StopArea:88:829,"Ampère Chartrel",,49.035746,2.456509,,,1,,
StopArea:88:861,"Avenue Des Tilleuls",,49.033035,2.45846,,,1,,
StopArea:88:1971,"École Jacques Prévert",,49.03004,2.45184,,,1,,
StopArea:88:1974,"Pablo Picasso",,49.03379,2.44911,,,1,,
StopArea:88:839,"Centre de Secours",,49.03023,2.459988,,,1,,
StopArea:88:849,"Marché",,49.027977,2.46154,,,1,,
StopArea:88:851,"Marcel Cerdan",,49.023005,2.459595,,,1,,
StopArea:8727624,"GARE DE GOUSSAINVILLE",,49.023569,2.462444,,,1,,
StopArea:88:833,"Carrefour de l'Europe",,49.020973,2.464782,,,1,,
StopArea:88:831,"Calvaire",,49.016053,2.469449,,,1,,
StopArea:88:856,"Le Moulin",,49.011449,2.472067,,,1,,
StopArea:88:926,"Pont Chinois",,49.007877,2.471784,,,1,,
StopArea:88:920,"Les Charmilles",,49.005262,2.471955,,,1,,
StopArea:88:922,"Chemin de St Denis",,49.007629,2.47638,,,1,,
StopArea:88:918,"Avenue Bocquet",,49.010627,2.483287,,,1,,
StopArea:88:930,"La Talmouse",,49.010904,2.488342,,,1,,
StopArea:88:903,"Parc Mail 1",,49.007644,2.493749,,,1,,
StopArea:88:904,"Parc Mail 2",,49.004664,2.490954,,,1,,
StopArea:88:905,"Parc du Moulin",,49.004038,2.501647,,,1,,
StopArea:88:902,"Rue du Noyer",,49.003208,2.504431,,,1,,
StopArea:88:906,"Roissy Parc",,49.005456,2.506384,,,1,,
StopArea:88:896,"Passerelle",,49.003678,2.512102,,,1,,
StopArea:88:908,"Village",,49.003991,2.516194,,,1,,
StopArea:88:894,"Airapolis",,49.006861,2.519441,,,1,,
StopArea:88:898,"Convention",,49.007796,2.516207,,,1,,
StopArea:20:480,"Entretien Nord",,49.011778,2.516126,,,1,,
StopArea:7:10585,"Terminal 2- Route de service",,49.00365,2.558412,,,1,,
StopArea:59:3678807,"Rue des Vignes",,49.004614,2.548137,,,1,,
StopArea:7:10509,"Rue du Châpitre",,49.002527,2.535253,,,1,,
StopArea:59:3666704,"Les 2 Cèdres",,49.001957,2.528274,,,1,,
StopArea:7:10502,"Cargo Centre",,48.998368,2.526124,,,1,,
StopArea:8798212,"MARGUILLIERS",,48.99459,2.523686,,,1,,
StopArea:88:542,"Jeune Fille",,48.993937,2.526346,,,1,,
StopArea:88:598,"Rue des rossignols",,48.991178,2.526678,,,1,,
StopArea:59:3678795,"Rue de la Belle Borne",,48.989541,2.527542,,,1,,
StopArea:11:259,"Aéroville",,48.991091,2.524166,,,1,,
StopArea:88:858,"Les Olympiades",,49.021802,2.455971,,,1,,
StopArea:88:860,"Sécurité Sociale",,49.025583,2.463195,,,1,,
StopArea:88:1252,"Rue de la Fossette",,49.012592,2.585616,,,1,,
StopArea:6:99,"20 Arpents",,49.019472,2.587528,,,1,,
StopArea:6:100,"Centre",,49.017904,2.591449,,,1,,
StopArea:88:236,"Eglise",,49.017414,2.593694,,,1,,
StopArea:6:104,"Grande Borne",,49.014929,2.600219,,,1,,
StopArea:6:293,"Zone Industrielle Périchet",,49.01872,2.598592,,,1,,
StopArea:6:106,"Rue du Gué",,49.020823,2.598589,,,1,,
StopArea:6:282,"Jeu de Paume",,49.033012,2.635462,,,1,,
StopArea:6:278,"Centre",,49.033792,2.639484,,,1,,
StopArea:88:227,"Belle Etoile",,49.046352,2.664568,,,1,,
StopArea:6:91,"Lycée Charles de Gaulle",,49.047064,2.666896,,,1,,
StopArea:6:83,"Croisement",,49.051119,2.671056,,,1,,
StopArea:6:53,"Trésor public",,49.053256,2.674873,,,1,,
StopArea:6:46,"Mairie",,49.053916,2.678124,,,1,,
StopArea:6:51,"St Fiacre",,49.053621,2.685321,,,1,,
StopArea:6:29,"Canada",,49.056204,2.69603,,,1,,
StopArea:6:26,"Bergamottes",,49.058754,2.690777,,,1,,
StopArea:88:204,"Route d'Eve",,49.060696,2.685847,,,1,,
StopArea:6:37,"Dom Ganneron",,49.061652,2.681457,,,1,,
StopArea:88:199,"Collège de l'Europe",,49.063954,2.681172,,,1,,
StopArea:6:322,"Centre Médical",,49.067037,2.680563,,,1,,
StopArea:6:177,"La Jalaise",,49.07118,2.677438,,,1,,
StopArea:6:179,"Mairie",,49.075027,2.675357,,,1,,
StopArea:6:173,"Froids Vents",,49.078112,2.676006,,,1,,
StopArea:6:175,"Guincourt",,49.079654,2.674074,,,1,,
StopArea:88:381,"Beaupré",,49.081583,2.668827,,,1,,
StopArea:6:33,"Chabannes",,49.061822,2.684877,,,1,,
StopArea:6:40,"Garenne",,49.057599,2.687952,,,1,,
StopArea:6:34,"Châtaigners",,49.056393,2.691677,,,1,,
StopArea:88:207,"Place Jean-Baptiste Delambre",,49.054143,2.680259,,,1,,
StopArea:6:36,"La Corbie",,49.055282,2.674729,,,1,,
StopArea:6:110,"Route Nationale",,49.019722,2.586801,,,1,,
StopArea:7:10485,"Aéroville Belle Borne",,48.989441,2.525231,,,1,,
StopArea:88:565,"Rue du Pavé",,48.987097,2.532801,,,1,,
StopArea:7:10781,"Versant Seine",,48.986716,2.535079,,,1,,
StopArea:7:10500,"Lacroix",,48.988568,2.545092,,,1,,
StopArea:7:10553,"Paris Asia",,48.976158,2.544588,,,1,,
StopArea:8798656,"Le Clos Montceleux",,48.954368,2.535458,,,1,,
StopArea:8727144,"GARE DE SEVRAN BEAUDOTTES",,48.947055,2.524269,,,1,,
StopArea:70:25778,"Kennedy / Charcot",,48.935922,2.515845,,,1,,
StopArea:88:1792,"Freinville Westinghouse",,48.927018,2.519862,,,1,,
StopArea:70:20022,"Vauban",,48.92065,2.526266,,,1,,
StopArea:70:23684,"Vallée des anges",,48.908068,2.534745,,,1,,
StopArea:70:14686,"Frédéric Ladrette",,48.908289,2.543869,,,1,,
StopArea:59:4035489,"La Lorette",,48.909492,2.54972,,,1,,
StopArea:59:3682260,"Les Marronniers",,48.91209,2.551108,,,1,,
StopArea:59:3682258,"Emile Zola",,48.906763,2.557097,,,1,,
StopArea:59:3682257,"Les Bosquets",,48.904791,2.559762,,,1,,
StopArea:59:4035480,"Tuilerie",,48.904231,2.564637,,,1,,
StopArea:70:21758,"L'ermitage",,48.906678,2.571222,,,1,,
StopArea:70:19080,"Jean Moulin",,48.906733,2.576499,,,1,,
StopArea:88:1753,"Arago",,48.904368,2.58175,,,1,,
StopArea:53:2421,"Rond Point des Sciences",,48.904026,2.588156,,,1,,
StopArea:8727646,"GARE DE PERSAN BEAUMONT",,49.14777,2.278587,,,1,,
StopArea:5:40061,"Piscine",,49.145585,2.287235,,,1,,
StopArea:5:40192,"Stade",,49.147353,2.294013,,,1,,
StopArea:88:1938,"Cimetière",,49.136372,2.36024,,,1,,
StopArea:88:1940,"Place de Cutigliano",,49.13342,2.36256,,,1,,
