,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name
0,StopPoint:4:130,002002002:CEN,9870,Villeneuve-le-roi Gare RER,Jeanne d'Arc,StopPoint:Node:5401678640,002002002:CEN,9870,Gare de Villeneuve-le-Roi,Place Jeanne d'Arc
1,StopPoint:4:134,002002002:CEN,10291,Villeneuve-le-roi Gare RER,Louis Jarrige,StopPoint:Node:4324200432,002002002:CEN,10291,Gare de Villeneuve-le-Roi,Louis Jarrige
19,StopPoint:4:47,002002003:3,2682,Villeneuve St Georges Gare RER,Général Leclerc,StopPoint:Node:5443966641,002002003:3,2682,Gare de Villeneuve-Saint-Georges,Général Leclerc
20,StopPoint:4:48,002002003:3,2660,Choisy-le-roi Gare RER,Général Leclerc,StopPoint:Node:473831582,002002003:3,2660,Gare de Choisy-Le-Roi,Général Leclerc
21,StopPoint:4:77,002002003:3,2661,Villeneuve St Georges Gare RER,Guy Moquet,StopPoint:Node:383589196,002002003:3,2661,Gare de Villeneuve-Saint-Georges,Guy Môquet
22,StopPoint:4:100,002002009:9,415234,E. Levasseur,Passerelle,StopPoint:Node:5443966634,002002009:9,415234,Levasseur (Thiais),Passerelle
23,StopPoint:4:101,002002009:9,415237,Centre Commercial Pont de Vitry,Passerelle,StopPoint:Node:5443966638,002002009:9,415237,Centre Commercial - Pont de Vitry,Passerelle
24,StopPoint:4:102,002002009:9,37275,E. Levasseur,Pont de Vitry,StopPoint:Node:5443966652,002002009:9,37275,Levasseur (Thiais),Pont de Vitry
25,StopPoint:4:103,002002009:9,26793,Centre Commercial Pont de Vitry,Pont de Vitry,StopPoint:Node:5443966631,002002009:9,26793,Centre Commercial - Pont de Vitry,Pont de Vitry
26,StopPoint:4:104,002002009:9,415223,E. Levasseur,Rue Tortue,StopPoint:Node:5443966643,002002009:9,415223,Levasseur (Thiais),Rue Tortue
27,StopPoint:4:105,002002009:9,415226,Centre Commercial Pont de Vitry,Rue Tortue,StopPoint:Node:5443966647,002002009:9,415226,Centre Commercial - Pont de Vitry,Rue Tortue
28,StopPoint:4:45,002002009:9,415252,E. Levasseur,8 Mai 1945,StopPoint:Node:5443966650,002002009:9,415252,Levasseur (Thiais),8 Mai 1945
29,StopPoint:4:46,002002009:9,36149,Centre Commercial Pont de Vitry,8 Mai 1945,StopPoint:Node:5443966639,002002009:9,36149,Centre Commercial - Pont de Vitry,8 Mai 1945
30,StopPoint:4:47,002002009:9,2682,E. Levasseur,Général Leclerc,StopPoint:Node:5443966641,002002009:9,2682,Levasseur (Thiais),Général Leclerc
31,StopPoint:4:48,002002009:9,2660,Centre Commercial Pont de Vitry,Général Leclerc,StopPoint:Node:473831582,002002009:9,2660,Centre Commercial - Pont de Vitry,Général Leclerc
32,StopPoint:4:49,002002009:9,2659,Centre Commercial Pont de Vitry,Choisy-le-roi Gare RER,StopPoint:Node:5443966635,002002009:9,2659,Centre Commercial - Pont de Vitry,Choisy-le-Roi Gare RER
33,StopPoint:4:51,002002009:9,30152,E. Levasseur,Choisy-le-roi Gare RER,StopPoint:Node:5443966648,002002009:9,30152,Levasseur (Thiais),Choisy-le-Roi RER
34,StopPoint:4:52,002002009:9,2677,Centre Commercial Pont de Vitry,Rouget de l'Isle,StopPoint:Node:5443966653,002002009:9,2677,Centre Commercial - Pont de Vitry,Rouget de l'Isle
35,StopPoint:4:53,002002009:9,23346,E. Levasseur,Docteur Roux,StopPoint:Node:5443966651,002002009:9,23346,Levasseur (Thiais),Docteur Roux
36,StopPoint:4:54,002002009:9,23348,Centre Commercial Pont de Vitry,Docteur Roux,StopPoint:Node:5443966656,002002009:9,23348,Centre Commercial - Pont de Vitry,Docteur Roux
37,StopPoint:4:74,002002009:9,2684,E. Levasseur,Cité des Vergers,StopPoint:Node:5443966642,002002009:9,2684,Levasseur (Thiais),Cité des Vergers
38,StopPoint:4:75,002002009:9,2685,Centre Commercial Pont de Vitry,Cité des Vergers,StopPoint:Node:383589191,002002009:9,2685,Centre Commercial - Pont de Vitry,Cité des Vergers
40,StopPoint:4:76,002002009:9,2686,E. Levasseur,E. Levasseur,StopPoint:Node:4321011888,002002009:9,2686,Levasseur (Thiais),Émile Levassor
41,StopPoint:4:76,002002009:9,2686,Centre Commercial Pont de Vitry,E. Levasseur,StopPoint:Node:4321011888,002002009:9,2686,Centre Commercial - Pont de Vitry,Émile Levassor
43,StopPoint:4:77,002002009:9,2661,E. Levasseur,Guy Moquet,StopPoint:Node:383589196,002002009:9,2661,Levasseur (Thiais),Guy Môquet
44,StopPoint:4:78,002002009:9,2705,Centre Commercial Pont de Vitry,Guy Moquet,StopPoint:Node:5443966655,002002009:9,2705,Centre Commercial - Pont de Vitry,Guy Môquet
45,StopPoint:4:79,002002009:9,2687,Centre Commercial Pont de Vitry,Institut Grignon,StopPoint:Node:5443966658,002002009:9,2687,Centre Commercial - Pont de Vitry,Institut Grignon
46,StopPoint:4:82,002002009:9,413701,E. Levasseur,Marmontel,StopPoint:Node:5443966657,002002009:9,413701,Levasseur (Thiais),Marmontel
47,StopPoint:4:83,002002009:9,413699,Centre Commercial Pont de Vitry,Marmontel,StopPoint:Node:5443966659,002002009:9,413699,Centre Commercial - Pont de Vitry,Marmontel
48,StopPoint:4:84,002002009:9,21656,E. Levasseur,Pavé Grignon,StopPoint:Node:392722837,002002009:9,21656,Levasseur (Thiais),Pavé Grignon
49,StopPoint:4:85,002002009:9,2688,Centre Commercial Pont de Vitry,Pavé Grignon,StopPoint:Node:392722838,002002009:9,2688,Centre Commercial - Pont de Vitry,Pavé Grignon
51,StopPoint:4:91,002002009:9,415248,E. Levasseur,Centre Commercial Pont de Vitry,StopPoint:Node:5443966644,002002009:9,415248,Levasseur (Thiais),Centre Commercial Pont de Vitry
52,StopPoint:4:91,002002009:9,415248,Centre Commercial Pont de Vitry,Centre Commercial Pont de Vitry,StopPoint:Node:5443966644,002002009:9,415248,Centre Commercial - Pont de Vitry,Centre Commercial Pont de Vitry
54,StopPoint:4:92,002002009:9,415227,E. Levasseur,Rue des Fusillés,StopPoint:Node:5443966633,002002009:9,415227,Levasseur (Thiais),Rue des Fusillés
55,StopPoint:4:93,002002009:9,415230,Centre Commercial Pont de Vitry,Rue des Fusillés,StopPoint:Node:5443966637,002002009:9,415230,Centre Commercial - Pont de Vitry,Rue des Fusillés
56,StopPoint:4:94,002002009:9,37277,E. Levasseur,Charles Heller,StopPoint:Node:5443966636,002002009:9,37277,Levasseur (Thiais),Charles Heller
57,StopPoint:4:95,002002009:9,37278,Centre Commercial Pont de Vitry,Charles Heller,StopPoint:Node:5443966640,002002009:9,37278,Centre Commercial - Pont de Vitry,Charles Heller
58,StopPoint:4:96,002002009:9,415242,E. Levasseur,Eugène Hénaff,StopPoint:Node:5443966654,002002009:9,415242,Levasseur (Thiais),Eugène Hénaff
59,StopPoint:4:97,002002009:9,415245,Centre Commercial Pont de Vitry,Eugène Hénaff,StopPoint:Node:5443966632,002002009:9,415245,Centre Commercial - Pont de Vitry,Eugène Hénaff
60,StopPoint:4:98,002002009:9,415241,E. Levasseur,Jules Guesde,StopPoint:Node:5443966645,002002009:9,415241,Levasseur (Thiais),Jules Guesde
61,StopPoint:4:99,002002009:9,415238,Centre Commercial Pont de Vitry,Jules Guesde,StopPoint:Node:5443966649,002002009:9,415238,Centre Commercial - Pont de Vitry,Jules Guesde
62,StopPoint:48:5250,003003018:18,16341,Gare de Torcy,Gare de Torcy,StopPoint:Node:2401892010,003003018:18,16341,Gare de Tournan,Torcy RER
80,StopPoint:48:5030,003351504:A,16209,Centre Commercial,Gare d'Ozoir,StopPoint:Node:5392632070,003351504:A,16209,Centre Commercial (Pontault-Combault),Gare d'Ozoir-la-Ferrière
83,StopPoint:48:5030,003351504:A,16209,Gare d'Ozoir,Gare d'Ozoir,StopPoint:Node:5392632070,003351504:A,16209,Gare d'Ozoir-la-Ferrière,Gare d'Ozoir-la-Ferrière
84,StopPoint:48:5031,003351504:A,16210,Centre Commercial,Jondelles,StopPoint:Node:3210082762,003351504:A,16210,Centre Commercial (Pontault-Combault),Jondelles
85,StopPoint:48:5032,003351504:A,16211,Gare d'Ozoir,Jondelles,StopPoint:Node:5392631651,003351504:A,16211,Gare d'Ozoir-la-Ferrière,Jondelles
87,StopPoint:48:5070,003351504:A,16232,Gare d'Ozoir,Campus Ste Thérèse,StopPoint:Node:5392631717,003351504:A,16232,Gare d'Ozoir-la-Ferrière,Campus Sainte-Thérèse
88,StopPoint:48:5075,003351504:A,16236,Centre Commercial,Foch,StopPoint:Node:5392632045,003351504:A,16236,Centre Commercial (Pontault-Combault),Foch
89,StopPoint:48:5076,003351504:A,16237,Gare d'Ozoir,Foch,StopPoint:Node:5392631658,003351504:A,16237,Gare d'Ozoir-la-Ferrière,Foch
92,StopPoint:48:5145,003351504:A,20005,Gare d'Ozoir,Louis Blanc,StopPoint:Node:5392631660,003351504:A,20005,Gare d'Ozoir-la-Ferrière,Louis Blanc
95,StopPoint:48:5146,003351504:A,20006,Centre Commercial,Louis Blanc,StopPoint:Node:5392630988,003351504:A,20006,Centre Commercial (Pontault-Combault),Louis Blanc
98,StopPoint:48:5175,003351504:A,20007,Gare d'Ozoir,Denis Papin,StopPoint:Node:5392630992,003351504:A,20007,Gare d'Ozoir-la-Ferrière,Denis Papin
101,StopPoint:48:5176,003351504:A,20008,Centre Commercial,Denis Papin,StopPoint:Node:5392631711,003351504:A,20008,Centre Commercial (Pontault-Combault),Denis Papin
104,StopPoint:48:5177,003351504:A,20009,Gare d'Ozoir,Gare de Pontault (Place Beilstein),StopPoint:Node:3068499589,003351504:A,20009,Gare d'Ozoir-la-Ferrière,Pontault-Combault RER (Place Beilstein)
107,StopPoint:48:5178,003351504:A,20010,Centre Commercial,Gare de Pontault (Place Beilstein),StopPoint:Node:5392631720,003351504:A,20010,Centre Commercial (Pontault-Combault),Pontault-Combault RER (Place Beilstein)
109,StopPoint:48:5200,003351504:A,16310,Centre Commercial,Lycée Charles le Chauve,StopPoint:Node:5392632097,003351504:A,16310,Centre Commercial (Pontault-Combault),Lycée Charles le Chauve
110,StopPoint:48:5300,003351504:A,16370,Centre Commercial,Gare de Roissy,StopPoint:Node:5392632090,003351504:A,16370,Centre Commercial (Pontault-Combault),Roissy RER
113,StopPoint:48:5300,003351504:A,16370,Gare d'Ozoir,Gare de Roissy,StopPoint:Node:5392632090,003351504:A,16370,Gare d'Ozoir-la-Ferrière,Roissy RER
122,StopPoint:48:5353,003351504:A,16401,Centre Commercial,Aristide Briand,StopPoint:Node:5392632076,003351504:A,16401,Centre Commercial (Pontault-Combault),Aristide Briand
123,StopPoint:48:5354,003351504:A,16402,Gare d'Ozoir,Aristide Briand,StopPoint:Node:5392631685,003351504:A,16402,Gare d'Ozoir-la-Ferrière,Aristide Briand
125,StopPoint:48:5385,003351504:A,16421,Centre Commercial,Gruet,StopPoint:Node:5392632028,003351504:A,16421,Centre Commercial (Pontault-Combault),Gruet
126,StopPoint:48:5386,003351504:A,16422,Gare d'Ozoir,Gruet,StopPoint:Node:5392631645,003351504:A,16422,Gare d'Ozoir-la-Ferrière,Gruet
128,StopPoint:48:5387,003351504:A,16423,Centre Commercial,Anne Frank,StopPoint:Node:5392631019,003351504:A,16423,Centre Commercial (Pontault-Combault),Anne Frank
129,StopPoint:48:5388,003351504:A,16424,Gare d'Ozoir,Anne Frank,StopPoint:Node:5392632050,003351504:A,16424,Gare d'Ozoir-la-Ferrière,Anne Frank
131,StopPoint:48:5391,003351504:A,16425,Centre Commercial,Ferme Pereire,StopPoint:Node:5392631695,003351504:A,16425,Centre Commercial (Pontault-Combault),Ferme Pereire
132,StopPoint:48:5392,003351504:A,16426,Gare d'Ozoir,Ferme Pereire,StopPoint:Node:5392631014,003351504:A,16426,Gare d'Ozoir-la-Ferrière,Ferme Pereire
135,StopPoint:48:5405,003351504:A,16436,Centre Commercial,Leclerc,StopPoint:Node:3982917857,003351504:A,16436,Centre Commercial (Pontault-Combault),Leclerc
136,StopPoint:48:5406,003351504:A,16437,Gare d'Ozoir,Leclerc,StopPoint:Node:5392631638,003351504:A,16437,Gare d'Ozoir-la-Ferrière,Leclerc
139,StopPoint:48:5423,003351504:A,16445,Centre Commercial,Margotins,StopPoint:Node:5392631013,003351504:A,16445,Centre Commercial (Pontault-Combault),Margotins
140,StopPoint:48:5424,003351504:A,16446,Gare d'Ozoir,Margotins,StopPoint:Node:5392632043,003351504:A,16446,Gare d'Ozoir-la-Ferrière,Margotins
143,StopPoint:48:5481,003351504:A,16481,Gare d'Ozoir,Lycee Camille Claudel,StopPoint:Node:5392632055,003351504:A,16481,Gare d'Ozoir-la-Ferrière,Lycée Claudel
145,StopPoint:48:5482,003351504:A,16482,Centre Commercial,Lycee Camille Claudel,StopPoint:Node:5392631709,003351504:A,16482,Centre Commercial (Pontault-Combault),Lycée Claudel
146,StopPoint:48:5487,003351504:A,20015,Gare d'Ozoir,Salle des Fêtes Jacques Brel,StopPoint:Node:5392630989,003351504:A,20015,Gare d'Ozoir-la-Ferrière,Salle des Fêtes Jacques Brel
148,StopPoint:48:5488,003351504:A,20016,Centre Commercial,Salle des Fêtes Jacques Brel,StopPoint:Node:5392631708,003351504:A,20016,Centre Commercial (Pontault-Combault),Salle des Fêtes Jacques Brel
152,StopPoint:48:5657,003351504:A,16574,Centre Commercial,Renardière,StopPoint:Node:5392632065,003351504:A,16574,Centre Commercial (Pontault-Combault),Renardière
153,StopPoint:48:5658,003351504:A,16575,Gare d'Ozoir,Renardière,StopPoint:Node:5392631675,003351504:A,16575,Gare d'Ozoir-la-Ferrière,Renardière
161,StopPoint:48:5721,003351504:A,36347,Gare d'Ozoir,Masséna,StopPoint:Node:5392631656,003351504:A,36347,Gare d'Ozoir-la-Ferrière,Masséna
163,StopPoint:48:5722,003351504:A,36361,Centre Commercial,Masséna,StopPoint:Node:5392630985,003351504:A,36361,Centre Commercial (Pontault-Combault),Masséna
164,StopPoint:48:5735,003351504:A,21520,Gare d'Ozoir,Danton Stade,StopPoint:Node:5392632056,003351504:A,21520,Gare d'Ozoir-la-Ferrière,Danton
165,StopPoint:48:5736,003351504:A,21521,Centre Commercial,Danton Stade,StopPoint:Node:5392631667,003351504:A,21521,Centre Commercial (Pontault-Combault),Danton
166,StopPoint:48:5737,003351504:A,426349,Centre Commercial,Belle Croix,StopPoint:Node:5392631648,003351504:A,426349,Centre Commercial (Pontault-Combault),Belle Croix
167,StopPoint:48:5738,003351504:A,426350,Gare d'Ozoir,Belle Croix,StopPoint:Node:5392632082,003351504:A,426350,Gare d'Ozoir-la-Ferrière,Belle Croix
168,StopPoint:48:5741,003351504:A,426346,Centre Commercial,Haras Campus St Thèrèse,StopPoint:Node:5392632079,003351504:A,426346,Centre Commercial (Pontault-Combault),Haras Campus Saint-Thèrèse
169,StopPoint:48:5973,003351504:A,16609,Centre Commercial,Village de Flore,StopPoint:Node:5392631628,003351504:A,16609,Centre Commercial (Pontault-Combault),Village de Flore
170,StopPoint:48:5974,003351504:A,16610,Gare d'Ozoir,Village de Flore,StopPoint:Node:5392632058,003351504:A,16610,Gare d'Ozoir-la-Ferrière,Village de Flore
172,StopPoint:48:5988,003351504:A,419166,Centre Commercial,Rue du Four,StopPoint:Node:5392631632,003351504:A,419166,Centre Commercial (Pontault-Combault),Rue du Four
173,StopPoint:48:5995,003351504:A,16625,Gare d'Ozoir,Pré Saint Martin,StopPoint:Node:5392632042,003351504:A,16625,Gare d'Ozoir-la-Ferrière,Pré Saint-Martin
175,StopPoint:48:5996,003351504:A,16626,Centre Commercial,Pré Saint Martin,StopPoint:Node:5392632037,003351504:A,16626,Centre Commercial (Pontault-Combault),Pré Saint-Martin
185,StopPoint:48:7043,003351504:A,16638,Gare d'Ozoir,Pavé,StopPoint:Node:5392632026,003351504:A,16638,Gare d'Ozoir-la-Ferrière,Pavé
187,StopPoint:48:7044,003351504:A,16639,Centre Commercial,Pavé,StopPoint:Node:5392632064,003351504:A,16639,Centre Commercial (Pontault-Combault),Pavé
