,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_stop_name,gtfs_stop_lat,gtfs_stop_lon,gtfs_wheelchair_boarding,gtfs_dest_name,gtfs_route_short_name,gtfs_agency_name,osm_network,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_name,osm_code,osm_lat,osm_route_id,osm_line_id,osm_osm:ref:FR:STIF:stop_id,osm_stop_id,osm_osm:ref:FR:STIF,osm_lon,osm_destination,destination_confidence,line_code_confidence,line_code_confidence_rounded,name_confidence,name_confidence_rounded,name_confidence_lower,name_confidence_lower_rounded,distance
1,StopPoint:4:134,002002002:CEN,10291,Louis Jarrige,48.739734,2.418538,,Villeneuve-le-roi Gare RER,CEN,Keolis Seine Val-De-Marne,Athis Cars,002002002:CEN,Louis Jarrige,Centaure,48.7398545,Route:Relation:122930,Line:Relation:6883352,StopPoint:4:134,StopPoint:Node:4324200432,10291,2.4201029999999997,Gare de Villeneuve-le-Roi,0.6666666666666666,0.18181818181818182,20.0,1.0,100.0,1.0,100.0,115.88654139973481
61,StopPoint:4:97,002002009:9,415245,Eugène Hénaff,48.792275,2.410758,,Centre Commercial Pont de Vitry,9,Keolis Seine Val-De-Marne,Keolis Seine Val-De-Marne,002002009:9,Eugène Hénaff,9,48.7934564,Route:Relation:280115,Line:Relation:7147174,StopPoint:4:97,StopPoint:Node:5443966632,415245,2.409989,Centre Commercial - Pont de Vitry,0.96875,1.0,100.0,1.0,100.0,1.0,100.0,143.01321233189228
229,StopPoint:48:5741,003351504:A,426346,Haras Campus St Thèrèse,48.65562,2.848855,,Centre Commercial,A,Sit'bus,Sit'Bus,003351504:A,Haras Campus Saint-Thèrèse,A,48.757761699999996,Route:Relation:7991716,Line:Relation:7993124,StopPoint:48:5741,StopPoint:Node:5392632079,426346,2.6964585,Centre Commercial (Pontault-Combault),0.6296296296296297,1.0,100.0,0.8979591836734694,90.0,0.8979591836734694,90.0,15963.264680511329
231,StopPoint:48:5974,003351504:A,16610,Village de Flore,48.791684,2.664498,,Gare d'Ozoir,A,Sit'bus,Sit'Bus,003351504:A,Village de Flore,A,48.792724299999996,Route:Relation:8122701,Line:Relation:7993124,StopPoint:48:5974,StopPoint:Node:5392632058,16610,2.6633475,Gare d'Ozoir-la-Ferrière,0.6666666666666666,1.0,100.0,1.0,100.0,1.0,100.0,143.28124059121353
246,StopPoint:48:7043,003351504:A,16638,Pavé,48.776652,2.597263,,Gare d'Ozoir,A,Sit'bus,Sit'Bus,003351504:A,Pavé,A,48.7782857,Route:Relation:8122701,Line:Relation:7993124,StopPoint:48:7043,StopPoint:Node:5392632026,16638,2.5988055,Gare d'Ozoir-la-Ferrière,0.6666666666666666,1.0,100.0,1.0,100.0,1.0,100.0,214.14694016168153
248,StopPoint:48:7044,003351504:A,16639,Pavé,48.776543,2.597507,,Centre Commercial,A,Sit'bus,Sit'Bus,003351504:A,Pavé,A,48.7778675,Route:Relation:7991716,Line:Relation:7993124,StopPoint:48:7044,StopPoint:Node:5392632064,16639,2.5985917,Centre Commercial (Pontault-Combault),0.6296296296296297,1.0,100.0,1.0,100.0,1.0,100.0,167.48295811224446
304,StopPoint:80:8,004004019:60,21603,André Citroën,48.775201,2.222063,1,Résidence Europe,60,Phébus,Phébus,004004019:60,André Citroën,60,48.774608,Route:Relation:3879033,Line:Relation:7912028,StopPoint:80:8,StopPoint:Node:5347077064,21603,2.2224190999999998,Vélizy-Villacoublay Résidence Europe,0.6153846153846154,1.0,100.0,1.0,100.0,1.0,100.0,70.94911615412268
306,StopPoint:80:108,004004026:23,4348,Jean Mermoz,48.798522,2.143388,1,Vélizy 2,23,Phébus,Phébus,004004026:23,Jean Mermoz,23,48.7981063,Route:Relation:8271441,Line:Relation:8271443,StopPoint:80:108,StopPoint:Node:1828091657,4348,2.1475602,Vélizy 2,1.0,1.0,100.0,1.0,100.0,1.0,100.0,309.98450987351254
309,StopPoint:80:128,004004026:23,38967,Louvois,48.780057,2.198714,1,Europe,23,Phébus,Phébus,004004026:23,Louvois,23,48.780322299999995,Route:Relation:8271442,Line:Relation:8271443,StopPoint:24:15170;StopPoint:80:128,StopPoint:Node:5342630914,38967,2.1955544,Europe,1.0,1.0,100.0,1.0,100.0,1.0,100.0,234.07595531709595
315,StopPoint:80:153,004004026:23,21607,Place de l'aviation,48.784103,2.185048,1,Vélizy 2,23,Phébus,Phébus,004004026:23,Place de l'Aviation,23,48.7833964,Route:Relation:8271441,Line:Relation:8271443,StopPoint:80:153,StopPoint:Node:5597300857,21607,2.1847602999999998,Vélizy 2,1.0,1.0,100.0,0.9473684210526315,90.0,1.0,100.0,81.37249249755105
318,StopPoint:80:155,004004026:23,12698,Picardie-Champagne,48.78476,2.172492,1,Europe,23,Phébus,Phébus,004004026:23,Picardie-Champagne,23,48.7849284,Route:Relation:8271442,Line:Relation:8271443,StopPoint:80:155,StopPoint:Node:1594700616,12698,2.171057,Europe,1.0,1.0,100.0,1.0,100.0,1.0,100.0,107.10297643450251
319,StopPoint:80:155,004004026:23,12698,Picardie-Champagne,48.78476,2.172492,1,Vélizy 2,23,Phébus,Phébus,004004026:23,Picardie-Champagne,23,48.7849284,Route:Relation:8271441,Line:Relation:8271443,StopPoint:80:155,StopPoint:Node:1594700616,12698,2.171057,Vélizy 2,1.0,1.0,100.0,1.0,100.0,1.0,100.0,107.10297643450251
322,StopPoint:80:176,004004026:23,12710,Rabourdin,48.78273,2.194096,1,Vélizy 2,23,Phébus,Phébus,004004026:23,Rabourdin,23,48.782446099999994,Route:Relation:8271441,Line:Relation:8271443,StopPoint:80:176,StopPoint:Node:3168767887,12710,2.1953191,Vélizy 2,1.0,1.0,100.0,1.0,100.0,1.0,100.0,95.2686280499592
