,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,gtfs_agency_name,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name
4,StopPoint:4:121,002002002:CEN,21642,Villeneuve-le-roi Gare RER,Villeneuve-le-roi Gare RER,StopPoint:Node:5401624957,Keolis Seine Val-De-Marne,002002002:CEN,21642,Gare de Villeneuve-le-Roi,Villeneuve-le-Roi Gare RER
5,StopPoint:4:130,002002002:CEN,9870,Villeneuve-le-roi Gare RER,Jeanne d'Arc,StopPoint:Node:5401678640,Keolis Seine Val-De-Marne,002002002:CEN,9870,Gare de Villeneuve-le-Roi,Place Jeanne d'Arc
6,StopPoint:4:134,002002002:CEN,10291,Villeneuve-le-roi Gare RER,Louis Jarrige,StopPoint:Node:4324200432,Keolis Seine Val-De-Marne,002002002:CEN,10291,Gare de Villeneuve-le-Roi,Louis Jarrige
29,StopPoint:4:1,002002003:3,2674,Villeneuve St Georges Gare RER,Brossolette,StopPoint:Node:4331155373,Keolis Seine Val-De-Marne,002002003:3,2674,Gare de Villeneuve-Saint-Georges,Brossolette
30,StopPoint:4:107,002002003:3,2681,Villeneuve St Georges Gare RER,Place Amédée Soupault,StopPoint:Node:5238181065,Keolis Seine Val-De-Marne,002002003:3,2681,Gare de Villeneuve-Saint-Georges,Place Amédée Soupault
31,StopPoint:4:108,002002003:3,21660,Choisy-le-roi Gare RER,Place Amédée Soupault,StopPoint:Node:6053140230,Keolis Seine Val-De-Marne,002002003:3,21660,Gare de Choisy-Le-Roi,Place Amédée Soupault
32,StopPoint:4:135,002002003:3,2679,Villeneuve St Georges Gare RER,Lycée Brassens,StopPoint:Node:5236847581,Keolis Seine Val-De-Marne,002002003:3,2679,Gare de Villeneuve-Saint-Georges,Lycée G. Brassens
33,StopPoint:4:136,002002003:3,2675,Choisy-le-roi Gare RER,Lycée Brassens,StopPoint:Node:4323752732,Keolis Seine Val-De-Marne,002002003:3,2675,Gare de Choisy-Le-Roi,Lycée G. Brassens
34,StopPoint:4:157,002002003:3,21632,Choisy-le-roi Gare RER,Paul Painlevé,StopPoint:Node:4330468369,Keolis Seine Val-De-Marne,002002003:3,21632,Gare de Choisy-Le-Roi,Paul Painlevé
35,StopPoint:4:161,002002003:3,21661,Villeneuve St Georges Gare RER,Raoul Delattre,StopPoint:Node:5237141103,Keolis Seine Val-De-Marne,002002003:3,21661,Gare de Villeneuve-Saint-Georges,Raoul Delattre
36,StopPoint:4:162,002002003:3,2629,Choisy-le-roi Gare RER,Raoul Delattre,StopPoint:Node:4330713491,Keolis Seine Val-De-Marne,002002003:3,2629,Gare de Choisy-Le-Roi,Raoul Delattre
38,StopPoint:4:166,002002003:3,2671,Villeneuve St Georges Gare RER,Saint-Martin,StopPoint:Node:5238275709,Keolis Seine Val-De-Marne,002002003:3,2671,Gare de Villeneuve-Saint-Georges,Saint-Martin
39,StopPoint:4:167,002002003:3,21659,Choisy-le-roi Gare RER,Saint-Martin,StopPoint:Node:4330895644,Keolis Seine Val-De-Marne,002002003:3,21659,Gare de Choisy-Le-Roi,Saint-Martin
40,StopPoint:4:172,002002003:3,2676,Villeneuve St Georges Gare RER,Weddingen,StopPoint:Node:4325350541,Keolis Seine Val-De-Marne,002002003:3,2676,Gare de Villeneuve-Saint-Georges,Weddingen
41,StopPoint:4:173,002002003:3,21633,Choisy-le-roi Gare RER,Weddingen,StopPoint:Node:6053140231,Keolis Seine Val-De-Marne,002002003:3,21633,Gare de Choisy-Le-Roi,Weddingen
42,StopPoint:4:174,002002003:3,2628,Villeneuve St Georges Gare RER,Villeneuve St Georges Gare RER,StopPoint:Node:4663060096,Keolis Seine Val-De-Marne,002002003:3,2628,Gare de Villeneuve-Saint-Georges,Gare de Villeneuve-Saint-Georges
45,StopPoint:4:174,002002003:3,2628,Choisy-le-roi Gare RER,Villeneuve St Georges Gare RER,StopPoint:Node:4663060096,Keolis Seine Val-De-Marne,002002003:3,2628,Gare de Choisy-Le-Roi,Gare de Villeneuve-Saint-Georges
46,StopPoint:4:2,002002003:3,2634,Choisy-le-roi Gare RER,Brossolette,StopPoint:Node:5169662224,Keolis Seine Val-De-Marne,002002003:3,2634,Gare de Choisy-Le-Roi,Brossolette
48,StopPoint:4:47,002002003:3,2682,Villeneuve St Georges Gare RER,Général Leclerc,StopPoint:Node:5443966641,Keolis Seine Val-De-Marne,002002003:3,2682,Gare de Villeneuve-Saint-Georges,Général Leclerc
49,StopPoint:4:48,002002003:3,2660,Choisy-le-roi Gare RER,Général Leclerc,StopPoint:Node:473831582,Keolis Seine Val-De-Marne,002002003:3,2660,Gare de Choisy-Le-Roi,Général Leclerc
51,StopPoint:4:50,002002003:3,423882,Villeneuve St Georges Gare RER,Choisy-le-roi Gare RER,StopPoint:Node:5443966635,Keolis Seine Val-De-Marne,002002003:3,423882,Gare de Villeneuve-Saint-Georges,Choisy-le-Roi Gare RER
54,StopPoint:4:56,002002003:3,8157,Villeneuve St Georges Gare RER,Fer à Cheval,StopPoint:Node:2958861183,Keolis Seine Val-De-Marne,002002003:3,8157,Gare de Villeneuve-Saint-Georges,Fer à Cheval
56,StopPoint:4:57,002002003:3,21624,Choisy-le-roi Gare RER,Fer à Cheval,StopPoint:Node:2958861184,Keolis Seine Val-De-Marne,002002003:3,21624,Gare de Choisy-Le-Roi,Fer à Cheval
