route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
067167006:G,372,"G","G","",3,,B7D4B4,000000
067067103:Fs,1006,"Fs","Fs","",3,,DAC3D8,000000
067067003:F,372,"F","F","",3,,5D7EBA,000000
067067002:J,372,"J","J","",3,,F4A3AD,000000
067167009:I,372,"I","I","",3,,C51F55,FFFFFF
067167004:H,372,"H","H","",3,,0A6591,FFFFFF
067067005:C,372,"C","C","",3,,2F5F93,FFFFFF
067167001:B,372,"B","B","",3,,00A664,FFFFFF
067167002:A,372,"A","A","",3,,00ADEC,000000
067167103:Es,372,"Es","Es","",3,,CBAB64,FFFFFF
067167003:E,372,"E","E","",3,,F47748,000000
067167008:D,372,"D","D","",3,,B17FAA,000000
067167110:Ns,372,"Ns","Ns","",3,,26BEC6,000000
067167010:N,372,"N","N","",3,,18A79D,FFFFFF
067067120:Ms,372,"Ms","Ms","",3,,62C18C,000000
067067202:Qs,372,"Qs","Qs","",3,,F2A06A,FFFFFF
067167105:Os,372,"Os","Os","",3,,7CCECF,FFFFFF
067167005:O,372,"O","O","",3,,FAB657,000000
067067164:Ks,372,"Ks","Ks","",3,,A3C2E6,FFFFFF
067067064:K,372,"K","K","",3,,0E76C4,FFFFFF
067067102:Js,372,"Js","Js","",3,,5EB1E3,000000
067067020:M,372,"M","M","",3,,16A5DE,000000
067067117:Ls,372,"Ls","Ls","",3,,6E8670,000000
067067017:L,372,"L","L","",3,,BA7EB3,000000
254177100:100,955,"100","100","",3,,1AC7FF,000000
287191100:191-100,822,"191-100","Express 191-100","",3,,1AC7FF,000000
287094001:GOCparis,822,"GO Cparis","GO C PARIS","",3,,FFC20A,000000
503503001:Beauvais,947,"Beauvais","Navette Paris-Beauvais","",3,,0000CC,FFFFFF
057314100:100,95,"100","Express 100 Les Mureaux St Quentin","",3,,1AC7FF,000000
057314143:ExpA14,95,"Exp A14","Express A14 Verneuil","",3,,1AC7FF,000000
057314142:ExpA14,95,"Exp A14","Express A14 Les Mureaux","",3,,1AC7FF,000000
116295008:FILEOFO,319,"FILEO FO","Fileo Fosses (sur réservation)","",3,,003BD1,FFFFFF
116295003:FILEOG,319,"FILEO G","Fileo Goussainville (sur réservation)","",3,,76B82A,000000
116277005:FILEOO,319,"FILEO O","Fileo Othis (sur réservation)","",3,,FBBA07,000000
116295032:32,319,"32","32","",3,,BDCD00,000000
116193100:100C,914,"100C","100","",3,,1AC7FF,000000
116195100:100P,758,"100P","Express 100","",3,,1AC7FF,000000
116295027:27,319,"27","27","",3,,F7BED2,000000
116277010:FILEOV,319,"FILEO V","Fileo Villeparisis (sur réservation)","",3,,003BD1,FFFFFF
116295004:FILEOVB,319,"FILEO VB","Fileo Villiers le Bel (sur réservation)","",3,,E582AE,000000
116931007:FILEOVE,319,"FILEO VE","Fileo Villepinte (sur réservation)","",3,,003BD1,FFFFFF
116931002:FILEOT,319,"FILEO T","Fileo Tremblay (sur réservation)","",3,,003BD1,FFFFFF
116295001:FILEOS,319,"FILEO S","Fileo Sarcelles (sur réservation)","",3,,0058A2,FFFFFF
116931006:FILEOSL,319,"FILEO SL","Fileo Sevran (sur réservation)","",3,,003BD1,FFFFFF
116277009:FILEOSP,319,"FILEO SP","Fileo Saint-Pathus (sur réservation)","",3,,D90912,FFFFFF
251195042:95-42,758,"95-42","95-42","",3,,8BBFC2,000000
251195043:95-43,758,"95-43","95-43","",3,,B0B7C7,000000
251195041:95-41,758,"95-41","95-41","",3,,005468,FFFFFF
251195004:95-04,758,"95-04","95-04","",3,,1AC7FF,000000
251195011:95-11,758,"95-11","95-11","",3,,BA0055,FFFFFF
251195047:95-47,758,"95-47","95-47","",3,,577C60,FFFFFF
251195048:95-48,758,"95-48","95-48","",3,,883A14,FFFFFF
251195046:95-46,758,"95-46","95-46","",3,,928D14,FFFFFF
251195044:95-44,758,"95-44","95-44","",3,,D7BDA4,000000
251195045:95-45,758,"95-45","95-45","",3,,928D14,FFFFFF
350350005:E,584,"E","E","",3,,ED6B6A,000000
350350027:F,584,"F","F","",3,,00903E,FFFFFF
350350028:G,584,"G","G","",3,,E6007E,FFFFFF
350350030:A,584,"A","A","",3,,E30613,FFFFFF
350350003:C,584,"C","C","",3,,20124E,FFFFFF
350350004:D,584,"D","D","",3,,4599AE,000000
350350012:M,584,"M","M","",3,,ECC500,000000
