line_id,route_id
Line:relation:36997,Route:relation:1103950
Line:relation:36997,Route:relation:1103951
Line:relation:107352,Route:relation:1103949
Line:relation:107352,Route:relation:1103948
Line:relation:107354,Route:relation:1103964
Line:relation:107354,Route:relation:1103965
Line:relation:107356,Route:relation:1104172
Line:relation:107356,Route:relation:1104173
Line:relation:109875,Route:relation:6578390
Line:relation:109875,Route:relation:6323608
Line:relation:109875,Route:relation:4118399
Line:relation:109875,Route:relation:4117951
Line:relation:122886,Route:relation:3014389
Line:relation:122886,Route:relation:3012069
Line:relation:122886,Route:relation:3023359
Line:relation:122886,Route:relation:3027737
Line:relation:122886,Route:relation:3049185
Line:relation:122886,Route:relation:3049201
Line:relation:122886,Route:relation:3046871
Line:relation:122886,Route:relation:3047780
Line:relation:122886,Route:relation:3019053
Line:relation:122886,Route:relation:3019054
Line:relation:122886,Route:relation:3007168
Line:relation:122886,Route:relation:3007169
Line:relation:122886,Route:relation:3019746
Line:relation:122886,Route:relation:3006693
Line:relation:122886,Route:relation:3006271
Line:relation:122886,Route:relation:3006270
Line:relation:122886,Route:relation:3007018
Line:relation:122886,Route:relation:3007017
Line:relation:215565,Route:relation:7306761
Line:relation:215565,Route:relation:7306760
Line:relation:225665,Route:relation:6012726
Line:relation:225665,Route:relation:6012725
Line:relation:225801,Route:relation:1484099
Line:relation:225801,Route:relation:1484100
Line:relation:226276,Route:relation:1246572
Line:relation:226276,Route:relation:1246573
Line:relation:253357,Route:relation:1621703
Line:relation:253357,Route:relation:7306985
Line:relation:253357,Route:relation:7306984
Line:relation:253357,Route:relation:7306983
Line:relation:255442,Route:relation:1257112
Line:relation:255442,Route:relation:1257119
Line:relation:332709,Route:relation:3256306
Line:relation:332709,Route:relation:3256307
Line:relation:387064,Route:relation:1250702
Line:relation:387064,Route:relation:2640678
Line:relation:399375,Route:relation:7425724
Line:relation:399375,Route:relation:7425725
Line:relation:399375,Route:relation:7235484
Line:relation:399375,Route:relation:7235438
Line:relation:557587,Route:relation:4067195
Line:relation:557587,Route:relation:3327924
Line:relation:611648,Route:relation:3309207
Line:relation:611648,Route:relation:3309208
Line:relation:611689,Route:relation:8122976
Line:relation:611689,Route:relation:7918117
Line:relation:611690,Route:relation:611202
Line:relation:611690,Route:relation:8123066
Line:relation:901462,Route:relation:1749963
Line:relation:901462,Route:relation:1749962
Line:relation:937383,Route:relation:7398767
Line:relation:937383,Route:relation:7398766
Line:relation:937383,Route:relation:7398765
Line:relation:937383,Route:relation:7398763
Line:relation:937390,Route:relation:1253892
Line:relation:937390,Route:relation:1253900
Line:relation:949582,Route:relation:6049087
Line:relation:949582,Route:relation:6049086
Line:relation:949583,Route:relation:1207846
Line:relation:949583,Route:relation:5950847
Line:relation:949584,Route:relation:7827569
Line:relation:949584,Route:relation:7827568
Line:relation:949584,Route:relation:7828077
Line:relation:949584,Route:relation:7827966
Line:relation:949585,Route:relation:5900606
Line:relation:949585,Route:relation:5900604
Line:relation:952693,Route:relation:3479452
Line:relation:952693,Route:relation:5950848
Line:relation:952830,Route:relation:1252552
Line:relation:952830,Route:relation:1252550
Line:relation:954976,Route:relation:5953315
Line:relation:954976,Route:relation:5953314
