ID_Line;ExternalCode_Line;Name_Line;ShortName_Line;TransportMode;TransportSubmode;OperatorRef;OperatorName;NetworkRef;NetworkName;ID_GroupOfLines;ShortName_GroupOfLines;Accessibility
C00161;012012035:R3-Nord;R3-Nord;R3-Nord;bus;localBus;012;TRANSDEV IDF MONTESSON LES RABAUX;252;Résalys;A00147;ST-GERMAIN-EN-LAYE (RER) - ST-GERMAIN-EN-LAYE (RER);1
C00875;066066020:A;A;A;bus;regionalBus;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00756;RUBELLES (Centre commercial) - BOISSISE-LE-ROI (Gare SNCF);1
C00883;066066025:Fd;Fd;Fd;bus;localBus;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00761;LE MEE-SUR-SEINE (Gare) - LA ROCHETTE (Rocheton);1
C00893;066066007:S2;S2;S2;bus;localBus;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00696;SEINE-PORT (GARE ROUTIERE) - FONTAINE-FOURCHES;0
C00886;066066021:S6;S6;S6;bus;localBus;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00757;VAUX-LE-PENIL (MAIRIE) - LE MEE-SUR-SEINE (GARE);0
C01648;800:N133;N133;N133;bus;nightBus;800;SNCF;55;Noctilien;A01494;N133 - NOCTILIEN - Paris Gare de Lyon - Juvisy-Sur-Orge;1
C00903;067067006:6;6;6;bus;localBus;067;MARNE ET MORIN;64;Pep's;A00772;COUPVRAY - ESBLY - CHESSY;0
C01091;100100053:53;53;53;bus;;100;RATP;;;A00945;53;1
C00662;055055002:DM02A;DM02 A;DM02 A;bus;;055;TRANSPORTS DANIEL MEYER;108;TRANSPORTS DANIEL MEYER;A00570;ST-MICHEL-SUR-ORGE (RER) - STE-GENEVIEVE-DES-BOIS (CROIX BLANCHE);0
C00720;056356112:ILAB;ILAB;ILAB;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00606;BUC (Lycée Franco-Allemand) - VERSAILLES - VAUCRESSON - GARCHES (Gare S.N.C.F.);1
C01730;800:P;P;P;rail;;800;SNCF;97;TRAIN;A01844;Gare de l'Est - La Ferté Milon / Château Thierry / Crécy la Chapelle / La Ferté G Centre / Provins;0
C00719;056356108:LLFA;LLFA;LLFA;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00603;VERSAILLES (Gare Rive Gauche) - JOUY-EN-JOSAS - SACLAY - IGNY (Bellevue);0
C00714;056356029:F;F;F;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00622;VAUCRESSON (Gare S.N.C.F.) - MARNES-LA-COQUETTE - VERSAILLES (Gare Rive Gauche);1
C01740;800:L;L;L;rail;;800;SNCF;97;TRAIN;A02176;Gare St-Lazare - Versailles R. Droite / Cergy Le Haut / Noisy le-Roi / St-Germain-en-Laye GC;0
C00038;004004003:32;32;32;bus;;004;KEOLIS VELIZY;65;Phébus;A00036;Chaville (Gare Rive Droite) - Jouy en Josas (Gare);1
C01736;800:N;N;N;rail;;800;SNCF;97;TRAIN;A01847;Gare Montparnasse / Gare Montparnasse Vaugirard - Chartres / Dreux / Evreux;0
C01798;057057024:02C;02C - Freneuse - Rosny-sur-Seine Collège Sully;02C;bus;localBus;057;CTVMI;26;Com'Bus;A00626;MANTES-LA-JOLIE (SAINT MACLOU) - BONNIERES-SUR-SEINE (CENTRE SOCIAL);0
C00366;021021502:LM2;LM2;LM2;bus;localBus;021;KEOLIS SEINE SENART;77;Seine Sénart Bus;A00333;MONTGERON (Lycée) - DRAVEIL - JUVISY-SUR-ORGE (Gare routière);0
C01806;066487077:CITA;CITALIEN;CITA;bus;expressBus;066;TRANSDEV IDF VAUX LE PENIL;487;CITALIEN;A00739;LIEUSAINT (SENART CENTRE) - MELUN (PLACE ST JEAN);1
C01952;013013039:39;39;39;bus;localBus;013;TRANSDEV IDF RAMBOUILLET;263;Rambouillet Interurbain;A02188;AUFFARGIS - LA-QUEUE-LEZ-YVELINES;0
C01789;025195033:95-33;95-33;95-33;bus;localBus;025;CEOBUS;16;Busval d'Oise;A02145;Marines (Ces Hautiers) - Epiais Rhus;0
C01790;025195034:95-34;95-34;95-34;bus;localBus;025;CEOBUS;16;Busval d'Oise;A02146;Marines (Ces Hautiers) - Ableiges;0
C00377;021021161:RD16;RD16;RD16;bus;;021;KEOLIS SEINE SENART;77;Seine Sénart Bus;A00337;JUVISY-SUR-ORGE (GARE ROUTIERE SEINE) - DRAVEIL (BERGERIES ST HUBERT);0
C01683;800:T4;T4 Bus;T4 Bus;bus;;800;SNCF;98;TRAMWAY;A01761;T4 Aulnay sous Bois - Bondy;0
C01482;213213027:27;27;27;bus;;213;TRANSDEV IDF NANTERRE;109;Traverciel;A01324;27;0
C00684;055055021:DM21B;DM21 B;DM21 B;bus;;055;TRANSPORTS DANIEL MEYER;;;A00587;MORSANG-SUR-ORGE (LIBERATION) - SAVIGNY-SUR-ORGE;1
C00495;039039008:11;11 Gare de Gif-sur-Yvette - Chevry - Parc Orsay Université;11;bus;;039;SAVAC;48;Mobicaps;A00429;GIF-SUR-YVETTE - LES ULIS;0
C00674;055055023:DM11G;DM11G;DM11G;bus;;055;TRANSPORTS DANIEL MEYER;108;TRANSPORTS DANIEL MEYER;A00589;MASSY (R.E.R.) - MARCOUSSIS (Z,I FONDS DES PRES);0
C02065;068068001:6801S;68.01S;68.01S;bus;;068;ORMONT TRANSPORT;57;ORMONT TRANSPORT;A00827;BREUILLET (Gare de Breuilet) - ARPAJON (Lycée Cassin);0
C02209;066066107:OSCO;O SCO;O SCO;bus;;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00766;SEINE-PORT (LA CHESNAY) - MELUN (3 HORLOGES);0
C01400;100987759:N31;N31;N31;bus;nightBus;100;RATP;55;Noctilien;A01251;N31;0
C00706;056356018:V;V;V;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00611;LE CHESNAY (C.C. Parly 2) - VILLE-D'AVRAY (Eglise);0
C01880;078192004:ChavilU;Chavilbus Unique;Chavil U;bus;;078;KEOLIS YVELINES;663;Chavilbus;A02212;Chavilbus U;0
C00232;014014905:R5;R5;R5;bus;;014;CIF;25;CIF;A00215;LOUVRES (RER) - LOUVRES (RER);0
C02240;003351500:500;500;500;bus;;003;N4 MOBILITES;;;A00029;ROISSY-EN-BRIE (Manoir) - NOISIEL (RER);0
C02184;078078054:54;54;54;bus;;078;KEOLIS YVELINES;65;Phébus;;;0
C01433;116295004:FILEOVB;Fileo Villiers le Bel (sur réservation);FILEO VB;bus;demandAndResponseBus;116;KMR;35;Filéo;A00246;Filéo villiers le bel;0
C01671;116931007:FILEOVE;Fileo Villepinte (sur réservation);FILEO VE;bus;demandAndResponseBus;116;KMR;35;Filéo;A01753;Filéo Villepinte;0
C01660;046146070:B;B;B;bus;regionalBus;046;KVO;14;Bus Haut Val d'Oise;A01724;BEAUMONT-SUR-OISE (TILLEULS) - PERSAN (GARE);0
C01422;100987791:N153;N153;N153;bus;nightBus;100;RATP;55;Noctilien;A01273;N153;1
C01418;100987783:N14;N14;N14;bus;nightBus;100;RATP;55;Noctilien;A01269;N14;0
C01419;100987784:N13;N13;N13;bus;nightBus;100;RATP;55;Noctilien;A01270;N13;0
C01416;100987781:N16;N16;N16;bus;nightBus;100;RATP;55;Noctilien;A01267;N16;1
C01417;100987782:N15;N15;N15;bus;nightBus;100;RATP;55;Noctilien;A01268;N15;0
C01658;020149012:15;15;15;bus;localBus;020;BIEVRE BUS MOBILITES;58;Paladin;A00327;ANTONY (CROIX DE BERNY RER/ROBINSON RER) - CHATENAY-MALABRY (CYRANON DE BERGERAC/GROUPE SCOLAIRE SOPHIE BARAT);0
C01574;293193602:602;602;602;bus;regionalBus;293;TRA;184;Seine-Saint-Denis;A01420;LE RAINCY (Le Raincy Villemomble Montfermeil RER) - COUBRON (Coubron Stade);0
C01579;293193609:609;609;609;bus;regionalBus;293;TRA;184;Seine-Saint-Denis;A01425;VILLEPINTE (gare RER) - LA COURNEUVE - DRANCY (Cité Gagarine);1
C01588;293193620:620;620;620;bus;regionalBus;293;TRA;184;Seine-Saint-Denis;A01434;LE BLANC-MESNIL (Chemin Notre Dame) - BOBIGNY (Pablo Picasso);0
C01505;228228007:07;07;07;bus;expressBus;228;PROCARS;76;Seine et Marne Express;A01346;PROVINS (GARE SNCF) - MONTEREAU-FAUT-YONNE (PAUL ELUARD);0
C01669;065487132:31;31;31;bus;regionalBus;065;TRANSDEV IDF LIEUSAINT;78;Sénart-Bus;A00750;REAU (CP77) - LIEUSAINT (CARRE TRAIT D'UNION);0
C01606;350350012:M;M;M;bus;regionalBus;350;TVM;92;TAM;A01458;MANTES-LA-VILLE (Domaine de la Vallée) - MANTES-LA-VILLE (Gare routière);1
C01584;293193616:616;616;616;bus;localBus;293;TRA;184;Seine-Saint-Denis;A01430;AULNAY-SOUS-BOIS (Aulnay sous Bois R.E.R.) - BONDY (Bondy RER);0
C01590;293193627:627;627;627;bus;localBus;293;TRA;184;Seine-Saint-Denis;A01436;AULNAY-SOUS-BOIS (Garonor) - AULNAY-SOUS-BOIS (Gare R.E.R.);0
C01785;025195006:95-06;95-06;95-06;bus;localBus;025;CEOBUS;16;Busval d'Oise;A02141;ARRONVILLE - CERGY;0
C00919;067067023:23;23;23;bus;localBus;067;MARNE ET MORIN;61;Pays de l'Ourcq;A00786;ARMENTIERES-EN-BRIE (CENTRE) - ISLES-LES-MELDEUSES (GARE SNCF);0
C00920;067067031:31;31;31;bus;localBus;067;MARNE ET MORIN;63;Pays Fertois;A00789;MERY-SUR-MARNE (La Brussette) - LA FERTE-SOUS-JOUARRE (Gare SNCF);0
C01497;227227002:227-04;227-04;227-04;bus;localBus;227;ORGEBUS;56;Orgebus;A01338;BRETIGNY-SUR-ORGE (Breche aux loups) - BRETIGNY-SUR-ORGE (Bois de Vetille);1
C00929;067067042:42;42;42;bus;localBus;067;MARNE ET MORIN;61;Pays de l'Ourcq;A00796;DHUISY (Chambardy) - LIZY-SUR-OURCQ (Gare S.N.C.F.);0
C00931;067067047:47;47;47;bus;localBus;067;MARNE ET MORIN;61;Pays de l'Ourcq;A00798;CONGIS-SUR-THEROUANNE - LIZY-SUR-OURCQ (SNCF);0
C01930;210677012:Ligne2 :Thoury-Flagy-Bréau;Ligne 2 : Thoury-Flagy-Bréau;Ligne 2 : Thoury-Flagy-Bréau;bus;demandAndResponseBus;210;CARS MOREAU;;;A01835;TAD Bocage Gatinais;0
C01500;228177050:50;50;50;bus;expressBus;228;PROCARS;76;Seine et Marne Express;A01341;PROVINS (SNCF) - CHESSY (RER);0
C01444;208258008:208;208;208;bus;localBus;208;INTERVAL;28;Comète;A01298;FONTAINEBLEAU - MONTEREAU-FAUT-YONNE;0
C00003;002002001:LIC;Licorne;LIC;bus;localBus;002;KEOLIS SEINE-VAL-DE-MARNE;;;A02312;VILLENEUVE-LE-ROI (la Fresnaie) - VILLENEUVE-LE-ROI (foyer Jean Rostand);0
C00917;067067022:22;22;22;bus;localBus;067;MARNE ET MORIN;61;Pays de l'Ourcq;A00785;BETZ - MEAUX;0
C02122;097097030:30C;30C BRIE-COMTE-ROBERT MELUN;30C;bus;localBus;097;DARCHE GROS;7;Arlequin;A00903;TOURNAN-EN-BRIE (GARE SNCF) - MELUN (PLACE DE L'ERMITAGE);0
C02187;065487020:61B;61B;61B;bus;localBus;065;TRANSDEV IDF LIEUSAINT;78;Sénart-Bus;A00731;COMBS-LA-VILLE (gare rer) - VAUX-LE-PENIL (LYCEE S,SIGNORET);0
C02188;065487020:62C;62C;62C;bus;localBus;065;TRANSDEV IDF LIEUSAINT;78;Sénart-Bus;A00731;COMBS-LA-VILLE (gare rer) - VAUX-LE-PENIL (LYCEE S,SIGNORET);0
C00388;024309303:303;303;303;bus;regionalBus;024;KEOLIS SEINE ESSONNE;75;Seine Essonne Bus;A00348;CORBEIL-ESSONNES (GARE) - CORBEIL-ESSONNES (GARE-MOULIN GALANT);0
C02155;006006015:15;15;15;bus;regionalBus;006;LES CARS D'ORSAY;48;Mobicaps;A00072;Massy (Gare de Massy Palaiseau) - Vélizy (Gare Routière);0
C02124;040040010:10;10;10;bus;localBus;010;CEAT;7;Arlequin;A00460;NOISIEL (R.E.R.) - BRIE-COMTE-ROBERT (VICTOR HUGO);0
C02101;045045022:R1A;R1A;R1A;bus;localBus;045;STRAV;121;VyBus;A00497;YERRES (LETHUMIERE) - BRUNOY (L.TALMA);0
C01915;002691003:AggloBusLigne1;Agglo'Bus Ligne 1;Agglo'Bus Ligne 1;bus;demandAndResponseBus;002;KEOLIS SEINE-VAL-DE-MARNE;;;A01808;Agglo'Bus;0
C01484;213213027:29;29;29;bus;;213;TRANSDEV IDF NANTERRE;109;Traverciel;A01324;27;0
C01846;800:J;J Bus;J;rail;;800;SNCF;;;A01852;Gare St-Lazare - Ermont Eaubonne / Vernon / Gisors;0
C00390;024309304:304;304;304;bus;regionalBus;024;KEOLIS SEINE ESSONNE;75;Seine Essonne Bus;A00350;VERT-LE-PETIT (PLACE DUQUESNE) - CORBEIL-ESSONNES (GARE);0
C00471;030195003:95-03A;95-03A;95-03A;bus;expressBus;030;CARS LACROIX;115;Valoise;A00411;CERGY (Préfecture) - MONTIGNY-LES-CORMEILLES - MARGENCY;1
C00437;030030005:30-05;30-05;30-05;bus;regionalBus;030;CARS LACROIX;59;Parisis;A00382;MONTIGNY-LES-CORMEILLES (Gare) - CORMEILLES-EN-PARISIS (Gare);0
C00447;030030014:30-14;30-14;30-14;bus;localBus;030;CARS LACROIX;113;ValBus;A00389;ST-LEU-LA-FORET (GARE) - FRANCONVILLE (GARE);1
C01397;100987756:N23;N23;N23;bus;nightBus;100;RATP;55;Noctilien;A01248;N23;0
C01404;100987763:N32;N32;N32;bus;nightBus;100;RATP;55;Noctilien;A01255;N32;0
C01410;100987771:N71;N71;N71;bus;nightBus;100;RATP;55;Noctilien;A01261;N71;1
C01412;100987773:N35;N35;N35;bus;nightBus;100;RATP;55;Noctilien;A01263;N35;0
C00260;014077756:756;756;756;bus;;014;CIF;38;Goëlys;A00239;CLAYE-SOUILLY (LEP CHAMP DE CLAYE) - MAUREGARD (LE GRAND CLOS);0
C00259;014077755:755;755;755;bus;;014;CIF;38;Goëlys;A00238;VILLENEUVE-SOUS-DAMMARTIN - LONGPERRIER;0
C00990;070070006:7006;7006 scolaire;7006;bus;regionalBus;070;CARS SOEUR;22;CARS SOEUR;A00854;CORBEIL-ESSONNES (Lycée Doisneau) - ST-GERMAIN-LES-CORBEIL (Collège de la Tuilerie);0
C00048;004004040:40;40;40;bus;;004;KEOLIS VELIZY;65;Phébus;A02151;Boulogne Billancourt (Pont de Sèvres) – Vélizy Villacoublay (Inovel Parc Nord);1
C01382;100110012:12;12;12;metro;;100;RATP;47;METRO;A01545;12;0
C01380;100110010:10;10;10;metro;;100;RATP;47;METRO;A01543;10;0
C01376;100110006:6;6;6;metro;;100;RATP;47;METRO;A01539;6;0
C01379;100110009:9;9;9;metro;;100;RATP;47;METRO;A01542;9;0
C01371;100110001:1;1;1;metro;;100;RATP;47;METRO;A01534;1;0
C01377;100110007:7;7;7;metro;;100;RATP;47;METRO;A01540;7;0
C01378;100110008:8;8;8;metro;;100;RATP;47;METRO;A01541;8;0
C01075;100100024:24;24;24;bus;;100;RATP;68;RATP;A00929;24;1
C00255;014077714:714;714;714;bus;;014;CIF;38;Goëlys;A00234;ST-PATHUS (Les frenes) - MEAUX (lycée Jean Vilar);0
C01133;100100104:104;104;104;bus;;100;RATP;68;RATP;A00988;104;1
C01134;100100105:105;105;105;bus;;100;RATP;68;RATP;A00989;105;1
C01137;100100108:108;108;108;bus;;100;RATP;68;RATP;A00992;108;1
C01140;100100111:111;111;111;bus;;100;RATP;68;RATP;A00995;111;1
C01119;100100087:87;87;87;bus;;100;RATP;68;RATP;A00973;87;1
C01940;063063009:9M;SHOP'BUS 9M;9M;bus;localBus;063;TRANSDEV IDF ST FARGEAU PONTHIERRY;123;Réseau du Canton de Perthes;A00689;ARBONNE-LA-FORET (CORNEBICHE) - MELUN (GARE);0
C01796;057057023:02B;02B - Freneuse - Mantes-la-Jolie;02B;bus;localBus;057;CTVMI;26;Com'Bus;A00626;MANTES-LA-JOLIE (SAINT MACLOU) - BONNIERES-SUR-SEINE (CENTRE SOCIAL);0
C01936;052052013:13;13;13;bus;localBus;052;AUTOCARS TOURNEUX;462;Poissy Aval - Deux Rives de Seine;A00563;VERNEUIL-SUR-SEINE (Gare) - CERGY (Préfecture);0
C01947;062062067:8;8;8;bus;localBus;062;TRANSDEV IDF VULAINES;4;Aérial;A02221;AVON (GARE SNCF) - FONTAINEBLEAU (HOPITAL);0
C01802;016016616:16;16;16;bus;localBus;016;TVO;114;Valmy;A02148;ENGHIENS - ARGENTEUIL;0
C02207;067067071:71;71;71;bus;;067;MARNE ET MORIN;60;Pays Créçois;A02299;COULOMMES Mairie - CRECY LA CHAPELLE Collège Mon Plaisir;0
C01830;111591201:A;A;A;bus;localBus;111;MOBICITE;885;Paris-Saclay;A01781;ABCDE;0
C00683;055055021:DM21A;DM21 A;DM21 A;bus;;055;TRANSPORTS DANIEL MEYER;;;A00587;MORSANG-SUR-ORGE (LIBERATION) - SAVIGNY-SUR-ORGE;1
C01885;800:C;Navette Pereire - Pont Cardinet;Navette;bus;;800;SNCF;;;A01727;Pont cardinet - Péreire Levallois;0
C02171;027027113:AQ;AQ;AQ;bus;;027;CARS HOURTOULE;;;A02284;PLAISIR (SERVICES SCOLAIRES);0
C00137;011011511:511;511;511;bus;localBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00129;AUBERGENVILLE (D 113) - ST-GERMAIN-EN-LAYE (Galliéni);0
C02150;019248009:F;F;F;bus;localBus;019;TRANSDEV IDF MONTESSON LA BOUCLE;13;Bus en Seine;A02260;VESINET-LE PECQ (RER) - MONTESSON (LA TOUR);0
C00452;030030023:30-23;30-23;30-23;bus;localBus;030;CARS LACROIX;113;ValBus;A00394;BEAUCHAMP (Gare SNCF) - ST-LEU-LA-FORET (Gare SNCF);1
C01878;030030007:30-07;30-07 Herblay;30-07;bus;localBus;030;CARS LACROIX;59;Parisis;A00383;HERBLAY (GARE) - HERBLAY (BUTTES BLANCHES);1
C00941;067067056:56;Express 56;56;bus;expressBus;067;MARNE ET MORIN;63;Pays Fertois;A00805;MEAUX (Gare SNCF) - FERICY (Gare SNCF);0
C00052;004004033:22;22;22;bus;;004;KEOLIS VELIZY;65;Phébus;A00048;Versailles (Gare Versailles Chantiers) - Vélizy Villacoublay (Base Aérienne 107);1
C00702;056356014:Z;Z;Z;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00607;VERSAILLES (Gare Rive Gauche) - SACLAY (Le Christ);0
C02234;067167010:N;N;N;bus;;067;MARNE ET MORIN;62;Pays de Meaux;A02304;Meaux Gare - Meaux Gare par PAPM;0
C01294;100100341:341;341;341;bus;;100;RATP;68;RATP;A01151;341;1
C02242;228677016:VILLEFERM;VILLEFERMOY;VILLEFERM;bus;;228;PROCARS;;;A02321;La Chapelle Rablais (Eglise) - Nangis (Gare);0
C01714;024309300:300;300;300;bus;localBus;024;KEOLIS SEINE ESSONNE;75;Seine Essonne Bus;A00346;CORBEIL-ESSONNES (SNECMA) - LE COUDRAY-MONTCEAUX (TERMINAL D. DOUILLET);0
C01656;020149007:17;17;17;bus;localBus;020;BIEVRE BUS MOBILITES;58;Paladin;A00323;BOURG-LA-REINE (CONDORCET/MAIRIE DE BOURG LA REINE) - BOURG-LA-REINE (CONDORCET/MAIRIE DE BOURG LA REINE);0
C01653;006006019:S3;S3 Scolaire - Collège Jules Verne;S3;bus;localBus;006;LES CARS D'ORSAY;48;Mobicaps;A00069;PALAISEAU (RER LOZERE) - PALAISEAU (RER);0
C01581;293193613:613;613;613;bus;regionalBus;293;TRA;184;Seine-Saint-Denis;A01427;AULNAY-SOUS-BOIS (Gare R.E.R.) - CHELLES (Gare S.N.C.F.);0
C01589;293193623:623;623;623;bus;localBus;293;TRA;184;Seine-Saint-Denis;A01435;SEVRAN (Sevran-Livry R.E.R.) - GAGNY ( Gagny RER);0
C01607;057057014:N;N;N;bus;localBus;350;TVM;26;Com'Bus;A01459;GUERVILLE (SENNEVILLE Place) - MANTES-LA-VILLE (SNCF);0
C01655;020149006:16;16;16;bus;localBus;020;BIEVRE BUS MOBILITES;58;Paladin;A00322;SCEAUX (CANBERWELL) - SCEAUX (CANBERWELL);0
C01605;350350031:K;K;K;bus;regionalBus;350;TVM;92;TAM;A02209;BUCHELAY (RENE RENAULT) - LIMAY (LYCEE CONDORCET);0
C01791;025195035:95-35;95-35;95-35;bus;localBus;025;CEOBUS;16;Busval d'Oise;A02147;Moussy - Marines;0
C01713;051051046:46;46;46;bus;regionalBus;051;AMV;64;Pep's;A01776;PEPS 46;0
C02078;097097031:31B;31B ETOILE DE FARMOUTIERS;31B;bus;localBus;097;DARCHE GROS;99;TRAMY;A00904;BEAUTHEIL (EGLISE) - FAREMOUTIERS (COLLEGE LOUISE MICHEL);0
C02074;097097012:12C;12C MOUROUX - COULOMMIERS;12C;bus;localBus;097;DARCHE GROS;99;TRAMY;A00894;MOUROUX (PLACE DE LA MAIRIE) - COULOMMIERS (CITE SCOLAIRE);0
C01955;013013079:79;79;79;bus;localBus;013;TRANSDEV IDF RAMBOUILLET;263;Rambouillet Interurbain;A02191;RAMBOUILLET - VILLIERS-SAINT-FREDERIC;0
C01985;005005040:40;40;40;bus;localBus;005;TRANSDEV IDF HOUDAN;915;Houdanais;A02204;VILLIERS-LE-MAHIEU - JOUARS-PONTCHARTRAIN;0
C01633;800:N132;N132;N132;bus;nightBus;800;SNCF;55;Noctilien;A01482;N132 - NOCTILIEN - Paris Gare de Lyon - Melun Gare RER;0
C01983;005005035:35;35;35;bus;localBus;005;TRANSDEV IDF HOUDAN;915;Houdanais;A02199;FLEXANVILLE - MONTFORT-L'AMAURY;0
C00985;070070001:7001;7001;7001;bus;regionalBus;070;CARS SOEUR;22;CARS SOEUR;A00850;EVRY - ST-GERMAIN-LES-CORBEIL;0
C00601;045045006:E2;E2;E2;bus;localBus;045;STRAV;121;VyBus;A00486;MONTGERON (GARE RER) - MONTGERON (GARE RER);0
C01746;800:TER;TER Picardie (1);TER Picardie (1);rail;;800;SNCF;93;TER;A02173;TER Picardie (1);0
