route_id,ZDEr_ID_REF_A,stop_lat,stop_lon,stop_name,route_short_name,dest_name
100100020:20,22848,48.891988,2.300305,REIMS - HOTEL DES IMPOTS,20,LOUISON BOBET
100100020:20,22957,48.869947,2.351696,PORTE SAINT-DENIS,20,LOUISON BOBET
100100020:20,23680,48.889965,2.296654,CURNONSKY,20,LOUISON BOBET
100100020:20,23681,48.891555,2.29604,LOUISON BOBET,20,LOUISON BOBET
100100020:20,25390,48.870883,2.333031,OPERA,20,LOUISON BOBET
100100020:20,25781,48.880641,2.312972,MALESHERBES - COURCELLES,20,LOUISON BOBET
100100020:20,25783,48.877639,2.316653,LISBONNE - MAIRIE DU 8E,20,LOUISON BOBET
100100020:20,26668,48.874817,2.38843,JOURDAIN,20,LOUISON BOBET
100100020:20,26765,48.871539,2.343358,GRANDS BOULEVARDS,20,LOUISON BOBET
100100020:20,26769,48.870846,2.347486,POISSONNIERE - BONNE NOUVELLE,20,LOUISON BOBET
100100020:20,27317,48.871431,2.336219,CHOISEUL,20,LOUISON BOBET
100100020:20,27482,48.87546,2.397437,PELLEPORT - BELLEVILLE,20,LOUISON BOBET
100100020:20,28000,48.869003,2.35615,PORTE SAINT-MARTIN,20,LOUISON BOBET
100100020:20,28397,48.86831,2.3607,LANCRY - SAINT-MARTIN,20,LOUISON BOBET
100100020:20,28410,48.86804,2.363956,REPUBLIQUE,20,LOUISON BOBET
100100020:20,28518,48.876984,2.405641,PORTE DES LILAS - METRO,20,LOUISON BOBET
100100020:20,29276,48.87471,2.320755,SAINT-AUGUSTIN,20,LOUISON BOBET
100100020:20,34184,48.885555,2.306974,JOUFFROY D'ABBANS - MALESHERBES,20,LOUISON BOBET
100100020:20,34185,48.882033,2.311241,PLACE DU GENERAL CATROUX,20,LOUISON BOBET
100100020:20,34187,48.887415,2.305188,WAGRAM - PEREIRE,20,LOUISON BOBET
100100020:20,37115,48.872195,2.330034,AUBER,20,LOUISON BOBET
100100020:20,37262,48.869899,2.370387,GONCOURT,20,LOUISON BOBET
100100020:20,37524,48.873516,2.327677,HAVRE - HAUSSMANN,20,LOUISON BOBET
100100020:20,39766,48.874118,2.32521,PASQUIER - ANJOU,20,LOUISON BOBET
100100020:20,40847,48.868974,2.367785,JULES FERRY,20,LOUISON BOBET
100100020:20,42045,48.871952,2.339244,RICHELIEU - DROUOT,20,LOUISON BOBET
100100020:20,42079,48.872359,2.377514,BELLEVILLE,20,LOUISON BOBET
100100020:20,427466,48.876614,2.407957,PORTE DES LILAS,20,LOUISON BOBET
100100020:20,463628,48.873265,2.381439,JULIEN LACROIX,20,LOUISON BOBET
100100020:20,463757,48.876104,2.402806,HAXO,20,LOUISON BOBET
100100020:20,463765,48.871012,2.37378,FAUBOURG DU TEMPLE - PIVER,20,LOUISON BOBET
100100020:20,463770,48.875327,2.394534,PIXERECOURT,20,LOUISON BOBET
100100020:20,463771,48.875508,2.3917,RUE DES FETES,20,LOUISON BOBET
100100020:20,471771,48.89074,2.303127,PORTE D'ASNIERES - MARGUERITE LONG,20,LOUISON BOBET
100100020:20,8426,48.874225,2.385745,PYRENEES - BELLEVILLE,20,LOUISON BOBET
100100020:20,9126,48.888269,2.304546,JULIETTE LAMBER,20,LOUISON BOBET
100100020:20,22749,48.873381,2.327486,HAVRE - HAUSSMANN,20,PORTE DES LILAS
100100020:20,23681,48.891555,2.29604,LOUISON BOBET,20,PORTE DES LILAS
100100020:20,24791,48.865723,2.354433,REAUMUR - ARTS ET METIERS,20,PORTE DES LILAS
100100020:20,25778,48.877559,2.316312,LISBONNE - MAIRIE DU 8E,20,PORTE DES LILAS
100100020:20,25779,48.880551,2.312645,MALESHERBES - COURCELLES,20,PORTE DES LILAS
100100020:20,25780,48.888358,2.304233,JULIETTE LAMBER,20,PORTE DES LILAS
100100020:20,25782,48.884738,2.307588,JOUFFROY D'ABBANS - MALESHERBES,20,PORTE DES LILAS
100100020:20,26664,48.872125,2.377392,BELLEVILLE,20,PORTE DES LILAS
100100020:20,26666,48.874772,2.388648,JOURDAIN,20,PORTE DES LILAS
100100020:20,26667,48.865313,2.376283,PARMENTIER - REPUBLIQUE,20,PORTE DES LILAS
100100020:20,26750,48.867908,2.344243,REAUMUR - MONTMARTRE,20,PORTE DES LILAS
100100020:20,26767,48.867404,2.346586,SENTIER,20,PORTE DES LILAS
100100020:20,27316,48.870101,2.33314,OPERA - 4 SEPTEMBRE,20,PORTE DES LILAS
100100020:20,27320,48.869175,2.338181,RICHELIEU - 4 SEPTEMBRE,20,PORTE DES LILAS
100100020:20,27489,48.882051,2.31086,PLACE DU GENERAL CATROUX,20,PORTE DES LILAS
100100020:20,28357,48.89118,2.302187,PORTE D'ASNIERES - MARGUERITE LONG,20,PORTE DES LILAS
100100020:20,28399,48.86869,2.340633,BOURSE,20,PORTE DES LILAS
100100020:20,28406,48.875295,2.325319,GARE SAINT-LAZARE,20,PORTE DES LILAS
100100020:20,28558,48.871233,2.331342,OPERA,20,PORTE DES LILAS
100100020:20,28559,48.868202,2.362839,REPUBLIQUE - MAGENTA,20,PORTE DES LILAS
100100020:20,29279,48.893201,2.299623,ALSACE,20,PORTE DES LILAS
100100020:20,36546,48.874872,2.320891,SAINT-AUGUSTIN,20,PORTE DES LILAS
100100020:20,36684,48.875549,2.39978,PELLEPORT - BELLEVILLE,20,PORTE DES LILAS
100100020:20,37137,48.867141,2.364936,REPUBLIQUE,20,PORTE DES LILAS
100100020:20,37570,48.866112,2.379689,SAINT-MAUR - JEAN AICARD,20,PORTE DES LILAS
100100020:20,37579,48.867342,2.383082,BELLEVILLE - MENILMONTANT,20,PORTE DES LILAS
100100020:20,39461,48.875209,2.395665,PIXERECOURT,20,PORTE DES LILAS
100100020:20,39462,48.873722,2.385118,PYRENEES - BELLEVILLE,20,PORTE DES LILAS
100100020:20,39463,48.864922,2.360058,SQUARE DU TEMPLE,20,PORTE DES LILAS
100100020:20,39465,48.868862,2.381067,COURONNES,20,PORTE DES LILAS
100100020:20,39796,48.865192,2.356939,ARTS ET METIERS,20,PORTE DES LILAS
100100020:20,39797,48.866487,2.350877,REAUMUR - SEBASTOPOL,20,PORTE DES LILAS
100100020:20,40229,48.886606,2.305297,WAGRAM - PEREIRE,20,PORTE DES LILAS
100100020:20,40848,48.866252,2.361462,TURBIGO - REPUBLIQUE,20,PORTE DES LILAS
100100020:20,463674,48.871208,2.378086,RAMPONEAU,20,PORTE DES LILAS
