stop_id,line_id,route_id,osm:ref:FR:STIF,osm:ref:FR:STIF:ExternalCode_Line,lat,lon,name,code,destination
StopPoint:node:1225461873,Line:relation:1066572,100100020:20,28410,100100020:20,48.8680364,2.3640065999999997,République,20,Louison Bobet
StopPoint:node:1481765826,Line:relation:1066572,100100020:20,27317,100100020:20,48.8714182,2.3361457,Choiseul,20,Louison Bobet
StopPoint:node:1590001879,Line:relation:1066572,100100020:20,22957,100100020:20,48.870035599999994,2.3514236,Porte Saint-Denis,20,Louison Bobet
StopPoint:node:1821967163,Line:relation:1066572,100100020:20,26765,100100020:20,48.8715165,2.3434426999999998,Grands Boulevards,20,Louison Bobet
StopPoint:node:2042462245,Line:relation:1066572,100100020:20,37262,100100020:20,48.86994,2.3707097,Goncourt,20,Louison Bobet
StopPoint:node:2042462308,Line:relation:1066572,100100020:20,25783,100100020:20,48.8775294,2.3168356,Lisbonne - Mairie du 8e,20,Louison Bobet
StopPoint:node:2042462316,Line:relation:1066572,100100020:20,25781,100100020:20,48.880648,2.3130193,Malesherbes - Courcelles,20,Louison Bobet
StopPoint:node:2042462363,Line:relation:1066572,100100020:20,34187,100100020:20,48.8874573,2.305112,Wagram - Pereire,20,Louison Bobet
StopPoint:node:2190217510,Line:relation:1066572,100100020:20,23680,100100020:20,48.889984299999995,2.2966576,Curnonsky,20,Louison Bobet
StopPoint:node:2688735491,Line:relation:1066572,100100020:20,28000,100100020:20,48.8689372,2.3563959,Porte Saint-Martin,20,Louison Bobet
StopPoint:node:2875110245,Line:relation:1066572,100100020:20,42079,100100020:20,48.8723823,2.3777052,Belleville,20,Louison Bobet
StopPoint:node:2875110250,Line:relation:1066572,100100020:20,26668,100100020:20,48.8749384,2.3887438,Jourdain,20,Louison Bobet
StopPoint:node:2875110252,Line:relation:1066572,100100020:20,40847,100100020:20,48.8690253,2.3680406,Jules Ferry,20,Louison Bobet
StopPoint:node:2875110256,Line:relation:1066572,100100020:20,28518,100100020:20,48.8769948,2.4057950999999997,Porte des Lilas-Métro,20,Louison Bobet
StopPoint:node:4705447666,Line:relation:1066572,100100020:20,42045,100100020:20,48.8718548,2.3387507,Richelieu - Drouot,20,Louison Bobet
StopPoint:node:4875906683,Line:relation:1066572,100100020:20,37524,100100020:20,48.8733824,2.3279335,Havre - Haussmann,20,Louison Bobet
StopPoint:node:4920237722,Line:relation:1066572,100100020:20,8426,100100020:20,48.8740338,2.3854333,Pyrénées - Belleville,20,Louison Bobet
StopPoint:node:4952064665,Line:relation:1066572,100100020:20,28397,100100020:20,48.8683221,2.3604659999999997,Lancry-Saint-Martin,20,Louison Bobet
StopPoint:node:4953872705,Line:relation:1066572,100100020:20,25390,100100020:20,48.8708913,2.3331389,Opéra,20,Louison Bobet
StopPoint:node:5154910029,Line:relation:1066572,100100020:20,27482,100100020:20,48.8754843,2.3973873,Pelleport - Belleville,20,Louison Bobet
StopPoint:node:5332968721,Line:relation:1066572,100100020:20,23681,100100020:20,48.8915459,2.2960967,Louison Bobet,20,Louison Bobet
StopPoint:node:5528847159,Line:relation:1066572,100100020:20,22848,100100020:20,48.8920282,2.30041,Reims - Hôtel des Impôts,20,Louison Bobet
StopPoint:node:5528847163,Line:relation:1066572,100100020:20,9126,100100020:20,48.8885589,2.3044842,Juliette Lamber,20,Louison Bobet
StopPoint:node:5528847165,Line:relation:1066572,100100020:20,34184,100100020:20,48.8856404,2.3068633999999997,Jouffroy d'Abbans - Malesherbes,20,Louison Bobet
StopPoint:node:5979568545,Line:relation:1066572,100100020:20,26769,100100020:20,48.8708958,2.3472865,Poissonnière - Bonne Nouvelle,20,Louison Bobet
StopPoint:node:5979568547,Line:relation:1066572,100100020:20,37115,100100020:20,48.872293199999994,2.3298414999999997,Auber,20,Louison Bobet
StopPoint:node:6069372691,Line:relation:1066572,100100020:20,427466,100100020:20,48.8765802,2.4081140999999997,Porte des Lilas,20,Louison Bobet
StopPoint:node:6303457354,Line:relation:1066572,100100020:20,463628,100100020:20,48.8732468,2.3816232,Julien Lacroix,20,Louison Bobet
StopPoint:node:6311417085,Line:relation:1066572,100100020:20,463757,100100020:20,48.876134799999996,2.4027979,Haxo,20,Louison Bobet
StopPoint:node:6311425745,Line:relation:1066572,100100020:20,463771,100100020:20,48.8755099,2.3917164,Rue des Fêtes,20,Louison Bobet
StopPoint:node:6339914611,Line:relation:1066572,100100020:20,34185,100100020:20,48.8822555,2.3110114,Place du Général Catroux,20,Louison Bobet
StopPoint:node:6431802202,Line:relation:1066572,100100020:20,471771,100100020:20,48.890743,2.303146,Porte d'Asnières - Marguerite Long,20,Louison Bobet
StopPoint:node:6431802204,Line:relation:1066572,100100020:20,463765,100100020:20,48.8709673,2.3738443,Faubourg du Temple - Piver,20,Louison Bobet
StopPoint:node:6431802205,Line:relation:1066572,100100020:20,463770,100100020:20,48.8753233,2.3945282,Pixérécourt,20,Louison Bobet
StopPoint:node:817304061,Line:relation:1066572,100100020:20,39766,100100020:20,48.8740995,2.3251548,Pasquier - Anjou,20,Louison Bobet
StopPoint:node:817304061,Line:relation:1066572,100100020:20,478404,100100020:20,48.8740995,2.3251548,Pasquier - Anjou,20,Louison Bobet
StopPoint:node:827576216,Line:relation:1066572,100100020:20,29276,100100020:20,48.8747038,2.3206937,Saint-Augustin,20,Louison Bobet
StopPoint:node:1244633375,Line:relation:1066572,100100020:20,26750,100100020:20,48.867955099999996,2.3442419,Réaumur - Montmartre,20,Porte des Lilas
StopPoint:node:1250216175,Line:relation:1066572,100100020:20,26767,100100020:20,48.8674567,2.3465358999999997,Sentier,20,Porte des Lilas
StopPoint:node:1261068386,Line:relation:1066572,100100020:20,39463,100100020:20,48.864928299999995,2.3600564,Square du Temple — Mairie du 3e - Carreau du Temple,20,Porte des Lilas
StopPoint:node:1261068387,Line:relation:1066572,100100020:20,40848,100100020:20,48.866136,2.3612740999999997,Turbigo - République,20,Porte des Lilas
StopPoint:node:2042462239,Line:relation:1066572,100100020:20,37579,100100020:20,48.867373099999995,2.3830497,Belleville - Menilmontant,20,Porte des Lilas
StopPoint:node:2042462309,Line:relation:1066572,100100020:20,25778,100100020:20,48.8775323,2.3163783,Lisbonne - Mairie du 8e,20,Porte des Lilas
StopPoint:node:2042462315,Line:relation:1066572,100100020:20,25779,100100020:20,48.8805012,2.3127494,Malesherbes - Courcelles,20,Porte des Lilas
StopPoint:node:2042462340,Line:relation:1066572,100100020:20,25782,100100020:20,48.884763299999996,2.3076151,Jouffroy d'Abbans - Malesherbes,20,Porte des Lilas
StopPoint:node:2206863791,Line:relation:1066572,100100020:20,36684,100100020:20,48.875517599999995,2.3994828,Pelleport - Belleville,20,Porte des Lilas
StopPoint:node:2689489606,Line:relation:1066572,100100020:20,28559,100100020:20,48.868297899999995,2.3629829,République,20,Porte des Lilas
StopPoint:node:2700046103,Line:relation:1066572,100100020:20,29279,100100020:20,48.8931567,2.2997096,Alsace,20,Porte des Lilas
StopPoint:node:2878817117,Line:relation:1066572,100100020:20,26664,100100020:20,48.8722053,2.3774796,Belleville,20,Porte des Lilas
StopPoint:node:2878817123,Line:relation:1066572,100100020:20,26666,100100020:20,48.8749787,2.3891239,Jourdain,20,Porte des Lilas
StopPoint:node:2878817135,Line:relation:1066572,100100020:20,39461,100100020:20,48.8752271,2.3956785,Pixérécourt,20,Porte des Lilas
StopPoint:node:2878817144,Line:relation:1066572,100100020:20,37570,100100020:20,48.8661411,2.3795549,Saint-Maur - Jean Aicard,20,Porte des Lilas
StopPoint:node:329130601,Line:relation:1066572,100100020:20,27320,100100020:20,48.869218599999996,2.3380768,Richelieu - 4 Septembre,20,Porte des Lilas
StopPoint:node:3829714353,Line:relation:1066572,100100020:20,22749,100100020:20,48.873267299999995,2.3277691,Havre - Haussmann,20,Porte des Lilas
StopPoint:node:4907297621,Line:relation:1066572,100100020:20,39465,100100020:20,48.868904,2.3809663999999997,Couronnes,20,Porte des Lilas
StopPoint:node:4920241421,Line:relation:1066572,100100020:20,39462,100100020:20,48.873754,2.3850894,Pyrénées - Belleville,20,Porte des Lilas
