service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2679,0,0,0,0,0,1,1,20180127,20180218
2677,1,1,1,1,1,0,0,20180124,20180216
2683,1,1,1,1,1,1,1,20180124,20180218
2680,0,0,0,0,0,1,1,20180127,20180218
2684,1,1,1,1,1,1,1,20180124,20180218
2678,0,0,0,0,0,1,1,20180127,20180218
2681,1,1,1,1,1,1,1,20180124,20180218
2682,1,1,1,1,1,1,1,20180124,20180218
3,1,1,1,1,1,0,0,20180124,20180216
1,0,0,0,0,0,1,0,20180127,20180217
5,1,1,1,1,1,1,0,20180124,20180217
4,1,1,1,1,1,0,1,20180124,20180218
0,0,0,0,0,0,0,1,20180128,20180218
2,0,0,0,0,0,1,1,20180127,20180218
6,1,1,1,1,1,1,1,20180124,20180218
89,0,0,0,0,0,1,0,20180127,20180217
91,1,1,1,1,1,0,0,20180124,20180216
87,0,0,0,0,0,0,1,20180128,20180218
92,0,0,0,0,0,0,1,20180128,20180218
90,1,1,1,1,1,0,0,20180124,20180216
88,0,0,0,0,0,1,0,20180127,20180217
4401,0,0,0,0,0,0,1,20180128,20180218
4410,1,1,1,1,1,1,0,20180124,20180217
4409,1,1,1,1,1,0,1,20180124,20180218
4402,0,0,0,0,0,1,0,20180127,20180217
4411,1,1,1,1,1,1,1,20180124,20180218
4408,1,1,1,1,1,0,0,20180124,20180216
4403,0,0,0,0,0,1,1,20180127,20180218
4407,0,1,1,1,1,0,0,20180124,20180216
4400,1,0,0,0,0,0,0,20180129,20180212
4406,1,1,1,1,0,0,1,20180124,20180218
4405,0,0,0,0,1,1,0,20180126,20180217
4404,0,0,0,0,1,0,0,20180126,20180216
4272,1,1,1,1,1,0,0,20180124,20180216
4271,1,1,0,1,1,0,0,20180125,20180216
4268,0,0,0,0,0,1,0,20180127,20180210
4269,0,0,1,0,0,0,0,20180124,20180214
4273,1,1,1,1,1,1,0,20180124,20180216
4270,0,0,1,0,0,1,0,20180124,20180214
73,1,1,1,1,1,0,0,20180124,20180216
71,0,0,1,0,0,0,0,20180124,20180214
69,1,1,0,1,1,0,0,20180125,20180216
68,0,0,0,0,0,1,0,20180127,20180217
86,1,1,1,1,1,1,0,20180124,20180217
81,0,0,0,0,0,0,1,20180128,20180218
79,1,0,0,0,0,0,0,20180129,20180212
83,0,1,1,1,1,1,0,20180124,20180217
84,1,1,1,1,1,0,1,20180124,20180218
85,0,1,1,1,1,1,1,20180124,20180218
82,0,0,1,0,0,1,0,20180124,20180217
21,1,1,1,1,1,0,0,20180124,20180216
15,0,0,0,0,0,1,0,20180127,20180217
22,1,1,1,1,1,1,0,20180124,20180217
19,1,1,0,1,1,0,0,20180125,20180216
16,0,0,1,0,0,0,0,20180124,20180214
20,1,1,0,1,1,1,0,20180125,20180217
17,0,0,1,0,0,1,0,20180124,20180217
18,1,0,0,1,0,0,0,20180125,20180215
14,0,0,0,0,0,0,1,20180128,20180218
7795,1,1,1,1,1,0,0,20180124,20180216
7792,0,0,0,0,0,1,0,20180127,20180217
7793,1,1,1,1,1,0,0,20180124,20180216
7794,1,1,1,1,1,0,0,20180124,20180202
27,1,1,1,1,1,1,1,20180124,20180218
2606,1,1,1,1,1,0,0,20180124,20180216
2609,1,1,1,1,1,1,0,20180124,20180217
2597,0,0,1,0,0,1,0,20180124,20180217
2592,0,0,0,0,0,1,0,20180127,20180217
2600,1,1,1,1,1,0,0,20180124,20180216
2591,0,0,0,0,0,1,0,20180127,20180217
2599,1,1,0,1,1,0,0,20180125,20180216
2594,0,0,1,0,0,0,0,20180124,20180214
2601,1,1,1,1,1,1,0,20180124,20180217
2595,0,0,1,0,0,0,0,20180124,20180214
2598,0,0,1,0,0,1,0,20180124,20180217
2605,1,1,1,1,0,0,0,20180124,20180215
2608,1,1,1,1,1,0,0,20180124,20180216
2593,0,0,0,0,1,0,0,20180126,20180216
2596,0,0,1,0,0,0,0,20180124,20180214
2604,1,1,0,1,1,0,0,20180125,20180216
2607,1,1,1,1,1,0,0,20180124,20180216
184,0,0,0,0,0,1,0,20180127,20180217
170,1,1,1,1,1,0,0,20180124,20180216
178,1,1,1,1,1,1,0,20180124,20180217
180,0,0,0,0,0,0,1,20180128,20180211
179,0,0,1,0,0,0,0,20180124,20180214
181,1,1,0,1,1,0,0,20180125,20180216
182,1,0,0,0,0,0,0,20180129,20180212
183,0,1,1,1,1,1,0,20180124,20180217
175,0,0,0,0,0,1,1,20180127,20180217
2090,1,1,1,1,1,1,0,20180124,20180217
2080,0,0,0,0,0,0,1,20180128,20180218
2086,1,1,0,1,1,0,0,20180125,20180216
2083,0,0,1,0,0,0,0,20180124,20180214
2088,1,1,1,1,1,0,0,20180124,20180216
2081,0,0,0,0,0,1,0,20180127,20180217
2084,0,0,1,0,0,1,0,20180124,20180217
2082,0,0,0,0,0,1,0,20180127,20180217
2089,1,1,1,1,1,0,0,20180124,20180216
2085,0,0,1,0,0,1,0,20180124,20180217
2087,1,1,0,1,1,0,0,20180125,20180216
4274,1,1,1,1,1,1,1,20180124,20180218
4474,0,0,0,0,0,1,1,20180203,20180204
4468,0,0,0,0,0,1,1,20180205,20180218
4472,1,0,0,0,0,0,1,20180128,20180218
4465,0,0,0,0,0,0,1,20180204,20180211
4464,1,0,0,0,0,0,0,20180205,20180212
4475,0,0,0,0,0,1,0,20180203,20180210
4469,0,0,0,0,0,1,0,20180203,20180217
4470,1,0,0,0,0,0,0,20180205,20180212
4467,0,0,0,0,0,0,1,20180204,20180218
5822,0,0,0,0,0,0,1,20180128,20180218
5842,1,1,1,1,1,0,0,20180124,20180216
5838,0,0,0,0,0,1,0,20180127,20180217
5826,0,1,1,1,1,1,0,20180124,20180217
5830,0,0,0,0,0,0,1,20180128,20180218
5833,1,0,0,0,0,0,0,20180129,20180212
5843,0,0,1,0,0,0,0,20180124,20180214
5839,1,1,0,1,1,0,0,20180125,20180216
5840,0,0,0,1,0,0,0,20180125,20180215
5832,1,1,1,0,0,0,0,20180124,20180214
5834,0,0,0,0,1,0,0,20180126,20180216
5823,0,0,0,1,1,0,0,20180125,20180216
5829,1,1,1,1,0,0,0,20180124,20180215
5825,1,1,1,0,1,0,0,20180124,20180216
65,1,1,1,1,1,0,0,20180124,20180216
57,0,0,0,0,1,0,0,20180126,20180216
61,1,1,1,1,0,0,0,20180124,20180215
59,1,1,0,1,1,0,0,20180125,20180216
58,0,0,1,0,0,0,0,20180124,20180214
67,1,1,1,1,1,0,0,20180124,20180216
62,1,1,1,1,1,0,0,20180124,20180216
60,1,1,1,1,1,0,0,20180124,20180216
66,1,1,1,1,1,0,0,20180124,20180216
63,1,1,1,1,1,0,0,20180124,20180216
56,0,0,0,0,1,0,0,20180126,20180216
64,1,1,1,1,1,0,0,20180124,20180216
212,1,1,1,1,1,0,0,20180124,20180216
214,1,1,1,1,1,1,0,20180124,20180217
213,1,1,1,1,1,0,0,20180124,20180216
211,1,1,0,1,1,0,0,20180125,20180216
210,0,1,0,0,0,0,0,20180130,20180213
208,0,0,0,0,1,0,0,20180126,20180216
209,0,0,1,0,0,0,0,20180124,20180214
37,1,1,1,1,1,0,0,20180124,20180216
29,0,0,0,0,0,1,0,20180127,20180217
34,1,1,1,1,1,0,0,20180124,20180216
33,1,1,0,1,1,0,0,20180125,20180216
30,0,0,1,0,0,0,0,20180124,20180214
35,1,1,1,1,1,1,0,20180124,20180217
31,0,0,1,0,0,1,0,20180124,20180217
32,1,1,0,1,0,0,0,20180125,20180215
732,0,0,1,0,0,0,0,20180124,20180214
735,1,1,0,1,1,0,0,20180125,20180216
738,0,0,0,0,0,1,0,20180127,20180217
734,1,1,1,1,1,0,0,20180124,20180216
736,0,0,0,0,0,0,1,20180128,20180218
4298,1,1,1,1,1,0,0,20180124,20180216
4295,1,1,1,1,1,0,0,20180124,20180216
4292,0,0,0,0,0,1,0,20180127,20180217
4299,1,1,1,1,1,1,0,20180124,20180217
4293,0,0,1,0,0,0,0,20180124,20180214
4300,0,0,0,0,0,1,1,20180127,20180218
4297,1,1,1,1,1,0,0,20180124,20180216
4294,1,1,0,1,1,0,0,20180125,20180216
4459,1,1,0,1,1,0,0,20180125,20180216
4460,0,0,1,0,0,0,0,20180124,20180214
4462,1,1,1,1,1,0,0,20180124,20180216
4461,0,0,0,0,0,1,0,20180127,20180217
48,1,1,1,1,1,0,0,20180124,20180216
52,1,1,1,1,1,0,0,20180124,20180216
46,1,1,0,1,1,0,0,20180125,20180216
43,0,0,1,0,0,0,0,20180124,20180214
53,1,1,1,1,1,1,0,20180124,20180217
45,0,0,1,0,0,1,0,20180124,20180217
40,0,0,0,0,0,1,0,20180127,20180217
47,1,1,0,1,1,1,0,20180125,20180217
38,1,0,0,0,0,0,0,20180129,20180212
49,1,1,1,1,1,1,0,20180124,20180217
44,0,0,1,0,0,0,0,20180124,20180214
