service_id,date,exception_type
2244,20180215,1
2244,20180216,1
2244,20180306,1
2244,20180308,1
2244,20180309,1
2241,20180310,1
2245,20180214,1
2245,20180215,1
2245,20180216,1
2245,20180306,1
2245,20180307,1
2245,20180308,1
2245,20180309,1
2242,20180214,1
2242,20180307,1
2246,20180214,1
2246,20180215,1
2246,20180216,1
2246,20180306,1
2246,20180307,1
2246,20180308,1
2246,20180309,1
2246,20180310,1
2243,20180214,1
2243,20180307,1
2243,20180310,1
73,20180214,1
73,20180215,1
73,20180216,1
73,20180305,1
73,20180306,1
73,20180307,1
73,20180308,1
73,20180309,1
71,20180214,1
71,20180307,1
69,20180215,1
69,20180216,1
69,20180305,1
69,20180306,1
69,20180308,1
69,20180309,1
68,20180217,1
68,20180310,1
86,20180214,1
86,20180215,1
86,20180216,1
86,20180217,1
86,20180305,1
86,20180306,1
86,20180307,1
86,20180308,1
86,20180309,1
86,20180310,1
81,20180311,1
81,20180218,1
79,20180305,1
84,20180305,1
84,20180306,1
84,20180307,1
84,20180308,1
84,20180309,1
84,20180311,1
84,20180214,1
84,20180215,1
84,20180216,1
84,20180218,1
85,20180306,1
85,20180307,1
85,20180308,1
85,20180309,1
85,20180310,1
85,20180311,1
85,20180214,1
85,20180215,1
85,20180216,1
85,20180217,1
85,20180218,1
83,20180214,1
83,20180215,1
83,20180216,1
83,20180217,1
83,20180306,1
83,20180307,1
83,20180308,1
83,20180309,1
83,20180310,1
82,20180214,1
82,20180217,1
82,20180307,1
82,20180310,1
21,20180214,1
21,20180215,1
21,20180216,1
21,20180305,1
21,20180306,1
21,20180307,1
21,20180308,1
21,20180309,1
22,20180214,1
22,20180215,1
22,20180216,1
22,20180217,1
22,20180305,1
22,20180306,1
22,20180307,1
22,20180308,1
22,20180309,1
22,20180310,1
15,20180217,1
15,20180310,1
19,20180215,1
19,20180216,1
19,20180305,1
19,20180306,1
19,20180308,1
19,20180309,1
16,20180214,1
16,20180307,1
20,20180215,1
20,20180216,1
20,20180217,1
20,20180305,1
20,20180306,1
20,20180308,1
20,20180309,1
20,20180310,1
17,20180214,1
17,20180217,1
17,20180307,1
17,20180310,1
18,20180215,1
18,20180305,1
18,20180308,1
14,20180311,1
14,20180218,1
1705,20180214,1
1705,20180217,1
1705,20180307,1
1705,20180310,1
1699,20180217,1
1699,20180310,1
1708,20180214,1
1708,20180215,1
1708,20180216,1
1708,20180305,1
1708,20180306,1
1708,20180307,1
1708,20180308,1
1708,20180309,1
1702,20180214,1
1702,20180307,1
