route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
254177100:100,848,"100","100","",3,,000000,FFFFFF
287191100:191-100,822,"191-100","Express 191-100","",3,,1AC7FF,000000
287094001:GOCparis,822,"GO Cparis","GO C PARIS","",3,,000000,FFFFFF
057314100:100,95,"100","Express 100 Les Mureaux St Quentin","",3,,000000,FFFFFF
057314143:ExpA14,95,"Exp A14","Express A14 Verneuil","",3,,1AC7FF,000000
057314142:ExpA14,95,"Exp A14","Express A14 Les Mureaux","",3,,1AC7FF,000000
116295008:FILEOFO,319,"FILEO FO","Fileo Fosses (sur réservation)","",3,,003BD1,FFFFFF
116295003:FILEOG,319,"FILEO G","Fileo Goussainville (sur réservation)","",3,,003BD1,FFFFFF
116277005:FILEOO,319,"FILEO O","Fileo Othis (sur réservation)","",3,,003BD1,FFFFFF
116295032:32,319,"32","32","",3,,000000,FFFFFF
116193100:100C,914,"100C","100","",3,,000000,FFFFFF
116195100:100P,758,"100P","Express 100","",3,,000000,FFFFFF
116295027:27,319,"27","27","",3,,000000,FFFFFF
116277010:FILEOV,319,"FILEO V","Fileo Villeparisis (sur réservation)","",3,,000000,FFFFFF
116295004:FILEOVB,319,"FILEO VB","Fileo Villiers le Bel (sur réservation)","",3,,003BD1,FFFFFF
116931007:FILEOVE,319,"FILEO VE","Fileo Villepinte (sur réservation)","",3,,003BD1,FFFFFF
116931002:FILEOT,319,"FILEO T","Fileo Tremblay (sur réservation)","",3,,003BD1,FFFFFF
116295001:FILEOS,319,"FILEO S","Fileo Sarcelles (sur réservation)","",3,,003BD1,FFFFFF
116931006:FILEOSL,319,"FILEO SL","Fileo Sevran (sur réservation)","",3,,003BD1,FFFFFF
116277009:FILEOSP,319,"FILEO SP","Fileo Saint-Pathus (sur réservation)","",3,,003BD1,FFFFFF
251195042:95-42,758,"95-42","95-42","",3,,80E6BF,000000
251195043:95-43,758,"95-43","95-43","",3,,A1B8CF,000000
251195041:95-41,758,"95-41","95-41","",3,,006652,FFFFFF
251195004:95-04,758,"95-04","95-04","",3,,1AC7FF,000000
251195011:95-11,758,"95-11","95-11","",3,,BF008F,FFFFFF
251195047:95-47,758,"95-47","95-47","",3,,408040,FFFFFF
251195048:95-48,758,"95-48","95-48","",3,,000000,FFFFFF
251195046:95-46,758,"95-46","95-46","",3,,73800D,FFFFFF
251195044:95-44,758,"95-44","95-44","",3,,000000,000000
