route_id,name,code,destination,network
r69321,Bus 414D : Évry-Courcouronnes Centre → Vert-le-Grand,414D,Parc de Tréville (Vert-le-Grand),Évry Centre Essonne
r107353,Bus G'bus : Goussainville RER (Circulaire),G'bus,Gare de Goussainville,Roissy Ouest
r107355,Bus 30B (circulaire) : Goussainville RER D -> Les Olympiades -> Goussainville RER D,30B,Goussainville RER D,Roissy Ouest
r107357,Bus 32A : Goussainville La Charmeuse - Aulnay-Sous-Bois Parinor,32A,Aulnay-Sous-Bois - Parinor Louis Armand,Les Courriers de l'Île-de-France
r107358,Bus R104 : Sécurité Sociale (Goussainville) → Institut Saint-Dominique (Mortefontaine),R104,Institut Saint-Dominique (Mortefontaine),Roissy Ouest
r111250,Bus 1312 : Chaumontel → Goussainville,1312,Gare de Goussainville,Haut Val d'Oise
r111251,Bus 12ZI (circulaire) : Gare de Goussainville -> ZAE Moinon -> Gare de Goussainville,12ZI,Gare de Goussainville,Roissy Ouest
r111252,Bus R8 : Mairie de Goussainville → Rue Neuve,R8,Rue Neuve,Roissy Ouest
r111253,Bus 30D (circulaire) : Gare de Goussainville -> Gare de Goussainville,30D,Gare de Goussainville,Roissy Ouest
r115222,Bus Licorne : Foyer Jean Rostand (circulaire),Licorne,Foyer Jean Rostand,Seine Grand Orly
r118448,"Bus Tvm : Antony-La Croix de Berny RER → Saint-Maur, Créteil RER",Tvm,"Saint-Maur, Créteil RER",RATP
r126953,Bus 393 : Sucy-Bonneuil RER → Thiais - Carrefour de la Résistance,393,"Thiais, Carrefour de la Résistance",RATP
r149679,Bus 182 : Mairie d'Ivry → Villeneuve Triage RER,182,Villeneuve Triage RER,RATP
r150122,Choisybus 582 (circulaire) : Choisy-le-Roi RER → Choisy-le-Roi RER,Choisybus,Choisy-le-Roi RER,RATP
r163664,Bus 183 : Marché International de Rungis → Aéroport d'Orly 4,183,Aéroport d'Orly 4,RATP
r180765,Bus 128 : Porte d'Orléans → Robinson RER,128,Robinson RER,RATP
r223747,Bus 105 : Porte des Lilas → Mairie des Pavillons-sous-Bois,105,Mairie des Pavillons-sous-Bois,RATP
r225660,Bus 129 : Porte des Lilas → Mairie de Montreuil,129,Mairie de Montreuil,RATP
r226265,Bus 249 : Porte des Lilas → Place Valérie André,249,Place Valérie André,RATP
r251803,Bus DM22 : Tuileries - Grigny → Gare de Savigny-sur-Orge,DM22,Gare de Savigny-sur-Orge,Évry Centre Essonne
r253230,Bus DM5 : ZI Croix Blanche → RER Gare Condorcet,DM5,RER Gare Condorcet,Cœur d'Essonne
r254845,Bus 318: Château de Vincennes → Raymond Queneau (Pantin),318,Raymond Queneau (Pantin),RATP
r254849,Bus 322 : Mairie de Montreuil → Bobigny–Pablo Picasso,322,Bobigny — Pablo Picasso,RATP
r271451,Bus DM4 : La Treille - Viry-Châtillon → RER Gare Condorcet,DM4,RER Gare Condorcet,Évry Centre Essonne
r279336,Bus 483 : Gare de Choisy-Le-Roi → Gare de Villeneuve-Saint-Georges,483,Gare de Villeneuve-Saint-Georges,Seine Grand Orly
r280115,Bus 282 : Levasseur (Thiais) → Centre Commercial de Pont de Vitry,282,Centre Commercial de Pont de Vitry,Seine Grand Orly
r304522,Bus 405 : Gare de Ris-Orangis - Bois de l'Épine → Henri Dunant (Corbeil-Essonnes),405,Henri Dunant (Corbeil-Essonnes),Évry Centre Essonne
r306279,Bus 185 : Choisy Sud → Porte d'Italie,185,Porte d'Italie,RATP
r331381,Bus 172 : Bourg-la-Reine RER → Hôpital Henri Mondor,172,Hôpital Henri Mondor,RATP
r332424,Bus 180 : Charenton-Écoles-Métro → Villejuif–Louis Aragon,180,Villejuif–Louis Aragon,RATP
r332719,Bus 145 : Église de Pantin → Cimetière de Villemomble,145,Cimetière de Villemomble,RATP
r332720,Bus 122: Bagnolet Gallieni → Val de Fontenay RER,122,Val de Fontenay RER,RATP
r371128,Bus 396 : La Croix de Berny RER → Marché International de Rungis,396,Marché International de Rungis,RATP
r371129,Bus 216 : Denfert-Rochereau → Marché International de Rungis,216,Marché International de Rungis,RATP
r371130,Bus 131 : Rungis–La Fraternelle RER → Porte d'Italie,131,Porte d'Italie,RATP
r387824,Bus 1 : Le Blanc Mesnil → Villeparisis Mitry le Neuf,1,Villeparisis Mitry le Neuf,Terres d'Envol
r387825,Bus 15 : Gare RER d'Aulnay-sous-Bois → Jaurès (Tremblay-en-France),15,Jaurès (Tremblay-en-France),Terres d'Envol
r387826,Bus 617 : Gare d'Aulnay-sous-Bois → Segro Logistics Park,617,Segro Logistics Park,Terres d'Envol
r387827,Bus 615 : Bobigny - Pablo Picasso → Villepinte RER,615,Villepinte RER,Terres d'Envol
r388931,Bus 30-43 : Ermont La Tour → Gare de Cernay (Ermont),30-43,Gare de Cernay (Ermont),Val Parisis
r411434,Bus 43 : Gare de Sevran Livry → Aéroport CDG1 RER B,43,Aéroport CDG1 RER B,Terres d'Envol
r416220,Bus DM8 : Libération - Morsang-sur-Orge → Porte de L'Essonne - Paray-Vieille-Poste,DM8,Porte de L'Essonne - Paray-Vieille-Poste,Cœur d'Essonne
r417691,Bus 45 : Blanc-Mesnil → Vert Galant,45,Vert Galant,Terres d'Envol
r444098,Bus 44 : Sevran - Beaudottes RER → Poissons → Sevran - Beaudottes Gare,44,Sevran - Beaudottes Gare,Terres d'Envol
r451212,Bus scolaire 401 S,401 S,,SQYBus
r451213,Bus scolaire 438.6,438.6,,
r451214,Bus scolaire 438.9,438.9,,
r534174,Bus 6171 : Mairie de Vélizy → Jouy-en-Josas - Trois Canards,6171,Jouy-en-Josas - Trois Canards,Vélizy Vallées
r611202,Bus 367 : Rueil-Malmaison RER → Pont de Bezons,367,Pont de Bezons,RATP
r611688,"Bus 304 : Nanterre, Place de la Boule → Les Courtilles",304,Les Courtilles,RATP
r937382,Bus 274 : Porte des Ternes - Anny Flore → Saint-Denis RER,274,Saint-Denis RER,RATP
r937387,Bus 173 : Porte de Clichy → La Courneuve–8 Mai 1945,173,La Courneuve–8 Mai 1945,RATP
r938118,Bus 317 : Nogent Le Perreux RER → Hôtel de Ville de Créteil,317,Hôtel de Ville de Créteil,RATP
r949581,Bus 237 : Épinay-sur-Seine RER → Porte de Saint-Ouen - Hôpital Bichat,237,Porte de Saint-Ouen - Hôpital Bichat,RATP
r950803,Bus 112 : La Varenne–Chennevières RER → Château de Vincennes,112,Château de Vincennes,RATP
r952668,Bus 361 : Gare d'Argenteuil → Pierrefitte–Stains RER,361,Pierrefitte–Stains RER,RATP
r952689,Bus 238 : Saint-Gratien RER → Pont de Levallois,238,Pont de Levallois,RATP
r952809,Bus 255 : Porte de Clignancourt → Stains – Les Prévoyants,255,Stains–Les Prévoyants,RATP
r954974,Bus 239 : Saint-Denis–Porte de Paris → Rosa Parks–Curial,239,Rosa Parks - Curial,RATP
r954984,Bus 302 : Gare du Nord → La Courneuve - Six Routes,302,La Courneuve–Six Routes,RATP
r955019,Bus 356 : Marché des Mortefontaines (Deuil-la-Barre) → Cité Floréal (Saint-Denis),356,Cité Floréal (Saint-Denis),RATP
r968729,Bus 467 : Pont de Sèvres → Rueil-Malmaison RER,467,Rueil-Malmaison RER,RATP
r968781,Bus 141 : La Défense → Rueil-Malmaison - Saint-Cucufa,141,Saint-Cucufa,RATP
r1057568,Noctilien N45 : Hôpital de Montfermeil → Gare de l'Est,N45,Gare de l'Est,Noctilien
r1057571,Noctilien N13 : Bobigny - Pablo Picasso → Mairie d’Issy,N13,Mairie d’Issy,Noctilien
r1057572,Noctilien N14 : Mairie de Saint-Ouen → La Croix de Berny RER,N14,La Croix de Berny RER,Noctilien
r1057574,Noctilien N12 : Pont de Sèvres → Romainville–Carnot,N12,Romainville–Carnot,Noctilien
r1057575,Noctilien N23 : Châtelet → Chelles - Gournay RER,N23,Chelles - Gournay RER,Noctilien
r1057576,Noctilien N43 : Gare de l'Est → Gare de Sarcelles - Saint-Brice,N43,Gare de Sarcelles - Saint-Brice,Noctilien
r1057578,Bus 350 : Roissypole → Garonor - Porte Sud → Porte de la Chapelle,350,Porte de la Chapelle,RATP
