agency_id,agency_name,network osm,company osm
303,Actipôles,,
658,ADP,Navettes Aéroports De Paris,
419,Aérial,Aérial,
571,Albatrans,TransEssonne,
369,Apolo 7,Apolo 7,
274,Arlequin,Arlequin,
783,Aubergenville,,
448,Autobus du Fort,Autobus du Fort,
639,AUTOCARS DOMINIQUE,Autocars Dominique,
456,Autocars Tourneux,,
726,Bouffémont,,
930,Brie Bus,,
14,Bus en Seine,Bus en Seine,
15,Bus Haut Val d'Oise,,
385,BUS O' Mureaux,,
758,Busval d'Oise,"Busval d'Oise, Bus Val d'Oise",
30,CARS MOREAU,,
418,CARS PERRIER,,
410,CARS PERRON,Cars Perron,
33,Cars ROSE,Cars Rose,
35,CARS SOEUR,,
18,CEAT,"Transdev CEAT, CEA Transports",
780,Chavilbus,Chavilbus,
339,CIF,"Les Courriers de l'Île-de-France, Keolis CIF, CIF",Keolis CIF
531,CITALIEN,,
302,Com'Bus,Com'Bus,
387,Comète,Comète,
611,Conflans Achères,Conflans Achères,
282,CSO,CSO,
746,Dourdanais,Dourdanais,
266,Entre Seine et Forêt,Entre Seine et Forêt,
95,Express A14,Express A14,
319,Filéo,Filéo,
919,Génovébus,Génovébus,
557,Goëlys,,
747,Houdanais,,
405,HOURTOULE,Hourtoule,
822,Keolis Orly Rungis,Keolis Orly Rungis,
829,Keolis Seine Val-De-Marne,Keolis Seine Val-De-Marne,
914,KMR,,
651,KVO,,
367,LACROIX,,
896,LE BUS DIRECT,Le Bus Direct,
379,LES CARS BLEUS,,
422,LOSAY VOYAGES,,
750,MAGICAL SHUTTLE,,
364,Melibus,MELIBUS,
361,Mobicaps,Mobicaps,
397,MONTESSON LA BOUCLE,,
441,Navette,,
56,Noctilien,Noctilien,
434,Orgebus,Orgebus,
408,ORMONT TRANSPORT,Ormont Transport,
420,Paladin,Paladin,
881,Paris-Saclay,La Navette Paris-Saclay,
366,Parisis,"Parisis, Val Parisis",
375,Pays Créçois,Pays Créçois,
376,Pays de l'Ourcq,Pays de l’Ourcq,
372,Pays de Meaux,Pays de Meaux,
344,Pays Fertois,Pays Fertois,
377,Pep's,Pep's,
285,Phébus,Phébus,
929,Plateau de Brie,Plateau de Brie,
308,PROCARS,Probus,
295,R'bus,R'Bus,
753,Rambouillet Interurbain,"Réseau Interurbain de Rambouillet, Réseau interurbain de Rambouillet",
442,RATP,RATP,RATP
507,rbus,R'bus,
741,RER,RER,
330,Resalys,Résalys,
275,Réseau départemental de l'Oise,,
642,Réseau du Canton de Perthes,Canton de Perthes en Gâtinais,
101,SAVAC,SAVAC,
855,Scolaire Est Yvelines,,
817,Seine Essonne Bus,Seine Essonne Bus,
105,Seine et Marne Express,Seine-et-Marne Express,
820,Seine Sénart Bus,Seine Sénart Bus,
916,Seine-Saint-Denis,Seine-Saint-Denis,
808,Seine-Senart Bus,,
107,Sénart-Bus,Sénart Bus,
108,Sénart-Express,Sénart Bus,
102,Service Urbain de Villecresnes,,
368,Sit'bus,Sit'Bus,
112,SITUS,"SITUS, Situs",
388,Siyonne,Siyonne,
354,SNCF,,
345,Sol'R,,
678,SQYBUS,"SQYBus, SQYbus, SQYBUS, SqyBus",
406,STAVO,STAVO,
752,Stigo,Stigo,
118,STILL,"STILL, Still",
119,STIVO,STIVO,STIVO
120,STRAV,STRAV,
584,TAM,,
743,TER,,SNCF
471,TICE,"Tice, TICE",
782,Titus,,
742,TRAIN,,
440,TRAMWAY,,
346,TRAMY,,
127,Trans Val d'Oise,TransVO,
447,Trans Val de France,Trans Val de France,
604,Transdev Ile-de-France Brétigny,Transdev Ile-de-France Brétigny,
898,Transdev Ile-de-France Conflans,,
635,Transdev Ile-de-France Ecquevilly,Transdev Île-de-France Ecquevilly,
605,Transdev Ile-de-France Houdan,,
848,Transdev Ile-de-France Lys,,
661,Transdev Ile-de-France Montesson Les Rabaux,,
708,Transdev Ile-de-France Vulaines,,
407,TRANSPORTS DANIEL MEYER,Daniel Meyer,Transports Daniel Meyer
132,Traverciel,Traverciel,
426,TVS,,
412,Ulys,,
906,Val d'Essonne,Val d'Essonne,
365,ValBus,Valbus,
134,Valmy,Valmy,
215,Valoise,Valoise,
870,VIAMO-MELUN,,
326,VyBus,VyBus,
347,Yerres,,
,,,Transdev Île-de-France Lieusaint
,,,Transdev AMV
,,,Les Cars d'Orsay
,,,Transdev TRA
,,,Transdev STRAV
,,,Transilien
,,,SNCF Réseau
,,,Transdev
,,Valouette,
,,Étampois,
,,Plaine de Versailles,
,,Athis Cars,
,,local,
,,Versailles Grand Parc,
,,TZen,
,,Autobus Suresnois,
,,Val de Seine,
,,Mobilien,
,,Versaille Grand Parc,
,,"Poissy Aval - Deux Rives de Seine, Poissy Aval - 2 rives de Seine",
,,"Marne et Morin, Transdev Marne et Morin",
,,Transdev SETRA,
,,Transilien,
