line_id,ID_Line,code,ShortName_Line,network,NetworkName,operator,OperatorName,mode,TransportMode
r8268452,C00562,N1,N1,ADP,,Aéroports de Paris,ADP,bus,bus
r6928933,C00563,CDGVAL,CDG VAL,CDGVAL,,Aéroports de Paris,ADP,subway,rail
r8268538,C01792,N2,N2,ADP,,Aéroports de Paris,ADP,bus,bus
r2196022,C01548,701,701,Autobus du Fort,,Autobus du Fort,Autobus du Fort,bus,bus
r7214891,C01757,Traverse,Traverse,Autocars Dominique,,B.E.-Green,Autocars Dominique,bus,bus
r9183484,C02179,Beauvais,Aérobus,Beauvais,,Aéroport Paris-Beauvais,Aéroport Paris-Beauvais / SAGEB,bus,bus
,C00455,,30-28,,,,Cars Lacroix,,bus
r9899858,C00458,30-31,30-31,Parisis,,Cars Lacroix,Cars Lacroix,bus,bus
,C00459,,30-32,,,,Cars Lacroix,,bus
r9899857,C00460,30-33,30-33,Parisis,,Cars Lacroix,Cars Lacroix,bus,bus
,C00461,,30-34,,,,Cars Lacroix,,bus
r9106179,C00466,30-42,30-42,Valbus,,Cars Lacroix,Cars Lacroix,bus,bus
r7909099,C00479,Navette,Navette,Cars Rose,,Transdev Île-de-France,Cars Lacroix,bus,bus
r9188040,C00480,CitéVal N,CitéVal N,CitéVal,,Lacroix,Cars Lacroix,bus,bus
r9188067,C00481,CitéVal S,CitéVal S,CitéVal,,Lacroix,Cars Lacroix,bus,bus
r9188120,C02040,CitéVal C,CitéVal C,CitéVal,,Lacroix,Cars Lacroix,bus,bus
r9188157,C02041,CitéVal F,CitéVal F,CitéVal,,Lacroix,Cars Lacroix,bus,bus
r9694410,C02257,95-29,95-29,Busval d'Oise,,Cars Lacroix,Cars Lacroix,bus,bus
,C02517,,CitéVal,,,,Cars Lacroix,,bus
r8132489,C00484,38-01,3801,Valbus,,Transdev Les Cars Rose,Cars Rose,bus,bus
r8132510,C00487,38-04,3804,Valbus,,Transdev Les Cars Rose,Cars Rose,bus,bus
r6972327,C02062,Express 100,EX 100,KMR,,Keolis Mobilité Roissy,Keolis Mobilité Roissy,bus,bus
r12564972,C02317,T9,T9,Tramway d'Île de France,,Keolis,Keolis Ouest Val-de-Marne,tram,tram
,C02664,,Filéo com,,,,Keolis Roissy Pays de France Ouest,,bus
r9190573,C01544,Selected,Selected,Magical Shuttle,,Transdev Visual,Magical Shuttle,bus,bus
r9190528,C01545,CDG,CDG,Magical Shuttle,,Transdev Visual,Magical Shuttle,bus,bus
r9190550,C01546,Orly,Orly,Magical Shuttle,,Transdev Visual,Magical Shuttle,bus,bus
r7796849,C02300,469,469,Grand Paris Seine Ouest,,Mobicité,Mobicité,bus,bus
r6860704,C01071,Tvm,TVM,RATP,,RATP,RATP,bus,bus
r1066572,C01072,20,20,RATP,,RATP,RATP,bus,bus
r1083426,C01073,21,21,RATP,,RATP,RATP,bus,bus
r1254461,C01074,22,22,RATP,,RATP,RATP,bus,bus
r1083425,C01075,24,24,RATP,,RATP,RATP,bus,bus
r1083423,C01076,26,26,RATP,,RATP,RATP,bus,bus
r1083433,C01077,27,27,RATP,,RATP,RATP,bus,bus
r1066842,C01078,28,28,RATP,,RATP,RATP,bus,bus
r1255733,C01079,29,29,RATP,,RATP,RATP,bus,bus
r1255732,C01080,30,30,RATP,,RATP,RATP,bus,bus
r1255734,C01081,31,31,RATP,,RATP,RATP,bus,bus
r1083424,C01082,32,32,RATP,,RATP,RATP,bus,bus
r1057488,C01083,38,38,RATP,,RATP,RATP,bus,bus
r1057577,C01084,39,39,RATP,,RATP,RATP,bus,bus
r1057570,C01085,42,42,RATP,,RATP,RATP,bus,bus
r1057567,C01086,43,43,RATP,,RATP,RATP,bus,bus
r1057566,C01087,46,46,RATP,,RATP,RATP,bus,bus
r1057573,C01088,47,47,RATP,,RATP,RATP,bus,bus
r1083432,C01089,48,48,RATP,,RATP,RATP,bus,bus
r1083435,C01090,52,52,RATP,,RATP,RATP,bus,bus
r1257186,C01092,54,54,RATP,,RATP,RATP,bus,bus
r1066573,C01093,56,56,RATP,,RATP,RATP,bus,bus
r1257187,C01094,57,57,RATP,,RATP,RATP,bus,bus
r1083420,C01095,58,58,RATP,,RATP,RATP,bus,bus
r1257122,C01096,60,60,RATP,,RATP,RATP,bus,bus
r255442,C01097,61,61,RATP,,RATP,RATP,bus,bus
r1257125,C01098,62,62,RATP,,RATP,RATP,bus,bus
r1257123,C01099,63,63,RATP,,RATP,RATP,bus,bus
r1257124,C01100,64,64,RATP,,RATP,RATP,bus,bus
r1254003,C01102,66,66,RATP,,RATP,RATP,bus,bus
r1066570,C01103,67,67,RATP,,RATP,RATP,bus,bus
r1083430,C01104,68,68,RATP,,RATP,RATP,bus,bus
r1254002,C01105,69,69,RATP,,RATP,RATP,bus,bus
r1086590,C01106,70,70,RATP,,RATP,RATP,bus,bus
r1086445,C01107,72,72,RATP,,RATP,RATP,bus,bus
r1086444,C01108,73,73,RATP,,RATP,RATP,bus,bus
r937390,C01109,74,74,RATP,,RATP,RATP,bus,bus
r1066571,C01110,75,75,RATP,,RATP,RATP,bus,bus
r1251039,C01111,76,76,RATP,,RATP,RATP,bus,bus
r1083422,C01112,80,80,RATP,,RATP,RATP,bus,bus
r1083431,C01114,82,82,RATP,,RATP,RATP,bus,bus
r1083421,C01115,83,83,RATP,,RATP,RATP,bus,bus
r1083427,C01116,84,84,RATP,,RATP,RATP,bus,bus
r952830,C01117,85,85,RATP,,RATP,RATP,bus,bus
r387064,C01118,86,86,RATP,,RATP,RATP,bus,bus
