agency_id,agency_name,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,line_id
372,Pays de Meaux,067067120:Ms,Ms,Ms,3,62C18C,000000,
955,Express 100 Torcy-Créteil,254177100:100,100,100,3,1AC7FF,000000,Line:relation:6156507
822,Keolis Orly Rungis,287191100:191-100,191-100,Express 191-100,3,1AC7FF,000000,Line:relation:6867541
822,Keolis Orly Rungis,287094001:GOCparis,GO Cparis,GO C PARIS,3,FFC20A,000000,Line:relation:7921024
947,Aéroport Paris Beauvais,503503001:Beauvais,Beauvais,Navette Paris-Beauvais,3,0000CC,ffffff,Line:relation:9183484
95,Express A14,057314100:100,100,Express 100 Les Mureaux St Quentin,3,1AC7FF,000000,Line:relation:9188817
95,Express A14,057314143:ExpA14,Exp A14,Express A14 Verneuil,3,1AC7FF,000000,Line:relation:9188979
95,Express A14,057314142:ExpA14,Exp A14,Express A14 Les Mureaux,3,1AC7FF,000000,Line:relation:6886051
319,Filéo,116295008:FILEOFO,FILEO FO,Fileo Fosses (sur réservation),3,003BD1,FFFFFF,Line:relation:7678094
319,Filéo,116295003:FILEOG,FILEO G,Fileo Goussainville (sur réservation),3,76B82A,000000,Line:relation:8398489
319,Filéo,116277005:FILEOO,FILEO O,Fileo Othis (sur réservation),3,FBBA07,000000,Line:relation:2531208
319,Filéo,116295032:32,32,32,3,BDCD00,000000,
914,KMR,116193100:100C,100C,100,3,1AC7FF,000000,Line:relation:6972327
758,Busval d'Oise,116195100:100P,100P,Express 100,3,1AC7FF,000000,Line:relation:8493726
319,Filéo,116295027:27,27,27,3,F7BED2,000000,Line:relation:8312707
319,Filéo,116277010:FILEOV,FILEO V,Fileo Villeparisis (sur réservation),3,003BD1,FFFFFF,Line:relation:2531226
319,Filéo,116295004:FILEOVB,FILEO VB,Fileo Villiers le Bel (sur réservation),3,E582AE,000000,Line:relation:2531207
319,Filéo,116931007:FILEOVE,FILEO VE,Fileo Villepinte (sur réservation),3,003BD1,FFFFFF,Line:relation:8449216
