stop_reference,route_reference,route_wheelchair,stop_name,stop_lat,stop_lon,stop_wheelchair,dest_name,route_short_name,agency_name
11228,C00001,2,Belle Epine Nord,48.75851829600539,2.370543841282943,1,Belle Épine Sud,482,Seine Grand Orly
21660,C00001,2,Place Amédée Soupault,48.73521248788033,2.418130688843645,1,Belle Épine Sud,482,Seine Grand Orly
21661,C00001,2,Raoul Delattre,48.727539009626696,2.436624520412494,1,Belle Épine Sud,482,Seine Grand Orly
2669,C00001,2,J.-J. Rousseau,48.743272121518984,2.401884495538492,1,Belle Épine Sud,482,Seine Grand Orly
2676,C00001,2,Weddingen,48.72854739708052,2.431148136429814,1,Belle Épine Sud,482,Seine Grand Orly
2679,C00001,2,Lycée Marianne,48.729996125836706,2.4275157771033764,1,Belle Épine Sud,482,Seine Grand Orly
26930,C00001,2,Parc Méliès,48.74485373663263,2.3926999232007313,1,Belle Épine Sud,482,Seine Grand Orly
26933,C00001,2,Cimetière Paysager,48.74535825374746,2.3875803710434305,1,Belle Épine Sud,482,Seine Grand Orly
2707,C00001,2,Place Paul Bert,48.734172267849296,2.441379997791455,1,Belle Épine Sud,482,Seine Grand Orly
2709,C00001,2,EDF,48.729718535352006,2.4391434833341576,1,Belle Épine Sud,482,Seine Grand Orly
29359,C00001,2,Hauts Flouviers,48.74918021180975,2.3701667663390458,1,Belle Épine Sud,482,Seine Grand Orly
29360,C00001,2,Pont de Rungis,48.74652338415668,2.3695051832295175,1,Belle Épine Sud,482,Seine Grand Orly
29361,C00001,2,Pont d'Espagne,48.752479895243,2.3733506616085878,1,Belle Épine Sud,482,Seine Grand Orly
30006,C00001,2,Belle Epine Sud,48.75551527763752,2.369042919393681,1,Belle Épine Sud,482,Seine Grand Orly
35844,C00001,2,Parc en Seine,48.74293856202091,2.4349624426676244,1,Belle Épine Sud,482,Seine Grand Orly
36156,C00001,2,Cité Jardins,48.746286725318136,2.375818668450805,1,Belle Épine Sud,482,Seine Grand Orly
36996,C00001,2,Mairie,48.74352550809267,2.400399222438283,1,Belle Épine Sud,482,Seine Grand Orly
41414,C00001,2,Paul Painlevé / Place Gounot,48.737211579170186,2.411268587018616,1,Belle Épine Sud,482,Seine Grand Orly
