route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,line_id,code,name,network,operator,colour,osm:type,mode,osm:ref:FR:STIF:ExternalCode_Line
100182002:B,1038,B,Bus Travaux RER B sud,,3,,000000,FFFFFF,,,,,,,,,
116295032:32,319,32,32,,3,,BDCD00,000000,,,,,,,,,
251195048:95-48,758,95-48,95-48,,3,,883A14,FFFFFF,,,,,,,,,
251195043:95-43,758,95-43,95-43,,3,,B0B7C7,000000,,,,,,,,,
251195044:95-44,758,95-44,95-44,,3,,D7BDA4,000000,,,,,,,,,
350350027:F,584,F,F,,3,,00903E,FFFFFF,,,,,,,,,
350350028:G,584,G,G,,3,,E6007E,FFFFFF,,,,,,,,,
244244001:EXPA14C,95,EXP A14 C,EXPRESS A14 CHAMBOURCY,,3,,FF7D4A,FFFFFF,,,,,,,,,
244244001:EXPA14B,95,EXP A14 B,EXPRESS A14 BONNIERES,,3,,67C14C,FFFFFF,,,,,,,,,
244244001:EXPA14M,95,EXP A14 M,EXPRESS A14 MANTES,,3,,1AC7FF,FFFFFF,,,,,,,,,
244244004:EXPA14C,95,EXP A14 C,EXPRESS A14 CHAMBOURCY,,3,,000000,FFFFFF,,,,,,,,,
057057010:10,302,10,10,,3,,E73747,FFFFFF,,,,,,,,,
057057009:09,302,09,09,,3,,A11881,FFFFFF,,,,,,,,,
057057022:22,302,22,22,,3,,9ED2C2,000000,,,,,,,,,
057057017:17,302,17,17,,3,,00669C,FFFFFF,,,,,,,,,
057057001:01,302,01,01,,3,,4AA631,FFFFFF,,,,,,,,,
057057003:05,302,05,05,,3,,00A8E8,000000,,,,,,,,,
057057004:04,302,04,04,,3,,8A1E82,FFFFFF,,,,,,,,,
057318119:91,302,91,91,,3,,E63323,FFFFFF,,,,,,,,,
057057006:P,302,P,P,,3,,EB5C2B,FFFFFF,,,,,,,,,
057318208:88,303,88,88,,3,,FFCC00,000000,,,,,,,,,
057057081:81,302,81,81,,3,,E48705,FFFFFF,,,,,,,,,
057057082:82,302,82,82,,3,,D0AA1D,000000,,,,,,,,,
057318008:88,303,88,88,,3,,FFCC00,000000,,,,,,,,,
057318108:88,303,88,88,,3,,FFCC00,000000,,,,,,,,,
111591204:D,1034,D,D,,3,,0077BA,FFFFFF,,,,,,,,,
092092014:14,1017,14,14,,3,,7F007F,FFFFFF,,,,,,,,,
092092001:1,1017,1,1,,3,,A6D940,000000,,,,,,,,,
092092004:4,1017,4,4,,3,,FF6E9E,000000,,,,,,,,,
092092003:3,1017,3,3,,3,,E5B200,000000,,,,,,,,,
038595040:NAVETTE,950,NAVETTE,NAVETTE,,3,,0066FF,FFFFFF,,,,,,,,,
210210204:002,30,002,LIGNE 2,,3,,2569B2,FFFFFF,,,,,,,,,
210210109:001,30,001,FFOURCHES LONGUEVILLE PROVINS,,3,,1D1D1B,FFFFFF,,,,,,,,,
210210106:001,30,001,LIGNE 1,,3,,1D1D1B,FFFFFF,,,,,,,,,
210210116:116,30,116,116,,3,,878787,000000,,,,,,,,,
210210301:003,30,003,NOYEN-GOUAIX-LONGUEVILLE,,3,,E30F13,FFFFFF,,,,,,,,,
228228010:10,308,10,10,,3,,DC3235,FFFFFF,,,,,,,,,
228228008:08,308,08,08,,3,,DE3D6B,FFFFFF,,,,,,,,,
228228011:11,308,11,11,,3,,48B274,000000,,,,,,,,,
228228013:13,308,13,13,,3,,283C82,FFFFFF,,,,,,,,,
228228012:12,308,12,12,,3,,BE91C1,000000,,,,,,,,,
228228007:07,105,07,07,,3,,1AC7FF,000000,,,,,,,,,
228228002:02,308,02,02,,3,,285697,FFFFFF,,,,,,,,,
228228001:01,308,01,01,,3,,006EB6,FFFFFF,,,,,,,,,
228228003:03,308,03,03,,3,,EF83B3,000000,,,,,,,,,
228228006:06,308,06,06,,3,,70746F,FFFFFF,,,,,,,,,
228228005:05,308,05,05,,3,,109539,FFFFFF,,,,,,,,,
