stop_id,name,code,destination,network,osm:ref:FR:STIF,osm:ref:FR:STIF:ExternalCode_Line,line_id,route_id,lat,lon
StopPoint:Node:269422476,Parc de Tréville,414D,Parc de Tréville,Tice,,,Line:Relation:7101486,Route:Relation:69321,48.5953751,2.3690876999999997
StopPoint:Node:334552201,Imprimerie Nationale,414D,Parc de Tréville,Tice,,,Line:Relation:7101486,Route:Relation:69321,48.602939899999996,2.37148
StopPoint:Node:252750239,École Pasteur,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,419693,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.0266442,2.4732585
StopPoint:Node:837540004,Hélène Boucher,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,415750,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.0306092,2.4490165999999998
StopPoint:Node:837539998,Michel Simon,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38670,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.032275999999996,2.4479287
StopPoint:Node:837540002,Pablo Picasso,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38698,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.033831299999996,2.4490819
StopPoint:Node:837539990,Madeleine Renaud,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38634,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.0307464,2.4492716
StopPoint:Node:5320764711,Lycée Romain Rolland,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38442,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.030343599999995,2.4557621999999997
StopPoint:Node:837350647,Avenue des Tilleuls,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38102,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.033006099999994,2.458301
StopPoint:Node:837539994,Collège Robespierre,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38477,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.0326111,2.4525402
StopPoint:Node:837540001,Georges Pitard,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38691,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.034550499999995,2.4547018
StopPoint:Node:837539997,Médiathèque,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,38648,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.0361051,2.4614898999999997
StopPoint:Node:837350700,Henri Dunant,G'bus,Goussainville RER,Les Courriers de l'Île-de-France,37998,014014099:Gbus,Line:Relation:7741077,Route:Relation:107353,49.0368548,2.4640310999999997
