stop_id,name,code,destination,network,stop_ref:FR:STIF,line_ref:FR:STIF,line_id,route_id,latitude,longitude
n10604503858,Les Gauthiers,3511,Pont de Dordives (Dordives),,34074,,r20318415,r20318413,48.1463855,2.7093703
n10604503859,Les Gauthiers,3511,Pont de Dordives (Dordives),,425099,,r20318415,r20318413,48.146383,2.7092699
n10604503862,Rue du Gâtinais,3511,Pont de Dordives (Dordives),,33734,,r20318415,r20318413,48.2101129,2.7020367
n10604503863,Rue du Gâtinais,3511,Cité Scolaire (Nemours),,33733,,r20318415,r20318414,48.2099577,2.7020322
n10604503864,Rue des Ecoles,3511,Cité Scolaire (Nemours),,33630,,r20318415,r20318414,48.1499567,2.7463178
n10604503866,Charles de Gaulle,3511,Pont de Dordives (Dordives),,33614,,r20318415,r20318413,48.1432933,2.698454
n10604503867,Charles de Gaulle,3511,Cité Scolaire (Nemours),,425097,,r20318415,r20318414,48.1433221,2.6983358
n10604503869,Heurtebise,3511,Cité Scolaire (Nemours),,33616,,r20318415,r20318414,48.1497415,2.7296076
n10604503870,Heurtebise,3511,Pont de Dordives (Dordives),,33615,,r20318415,r20318413,48.149653,2.7298035
n13645162912,Rue des Ecoles,3511,Pont de Dordives (Dordives),,33630,,r20318415,r20318413,48.1499928,2.7466181
n13645252795,La Groue,3511,Pont de Dordives (Dordives),,33735,,r20318415,r20318413,48.2079981,2.7026067
n5592618324,Collège La Malmaison,564,Les Pince-Vins,,10438,C01349,r7920954,r3615346,48.8735005,2.1689659
n5592618325,Tuck Stell,564,Les Pince-Vins,,24760,C01349,r7920954,r3615346,48.869056,2.172606
n5592618326,Bois Saint-Père,564,Les Pince-Vins,,24768,C01349,r7920954,r3615346,48.8642998,2.1662099
n5592618327,Bergerie,564,Les Pince-Vins,,24765,C01349,r7920954,r3615346,48.8630703,2.1630389
n5592618328,Les Pince-Vins,564,Les Pince-Vins,,24762,C01349,r7920954,r3615346,48.8618586,2.1588835
n5592618329,Bergerie,564,Les Pince-Vins,,24764,C01349,r7920954,r3615346,48.8637989,2.1627046
n5592618330,Bois Saint-Père,564,Les Pince-Vins,,24761,C01349,r7920954,r3615346,48.8642001,2.1660024
n5592618331,Bretagne,564,Les Pince-Vins,,10439,C01349,r7920954,r3615346,48.866884,2.168376
n5592618332,Tuck Stell,564,Les Pince-Vins,,36894,C01349,r7920954,r3615346,48.869074,2.172361
n5592618333,George Sand,564,Les Pince-Vins,,24767,C01349,r7920954,r3615346,48.8718202,2.1763091
n5592618334,Place Richelieu,564,Les Pince-Vins,,36778,C01349,r7920954,r3615346,48.8734627,2.1809826
n5592618335,Église de Rueil,564,Les Pince-Vins,,24727,C01349,r7920954,r3615346,48.8758722,2.1799616
n5592618336,Bois Preau,564,Les Pince-Vins,,24766,C01349,r7920954,r3615346,48.8748343,2.1752004
