line_id,route_id,stop_id,lat,lon
Line:Relation:6955761,Route:Relation:1057568,StopPoint:Node:1113455239,48.8761282,2.3586508
Line:Relation:1547966,Route:Relation:1057571,StopPoint:Node:1014690200,48.8598612,2.3525853999999997
Line:Relation:1547967,Route:Relation:1057572,StopPoint:Node:1014690200,48.8598612,2.3525853999999997
Line:Relation:1547969,Route:Relation:1057574,StopPoint:Node:1005362300,48.834756299999995,2.2474597
Line:Relation:1547965,Route:Relation:1057575,StopPoint:Node:1261068386,48.864928299999995,2.3600564
Line:Relation:6955549,Route:Relation:1057576,StopPoint:Node:1351093752,48.994799699999994,2.3684868999999997
Line:Relation:7466937,Route:Relation:1057578,StopPoint:Node:1827981912,48.961127,2.488832
Line:Relation:1057488,Route:Relation:1066789,StopPoint:Node:1014690200,48.8598612,2.3525853999999997
Line:Relation:1057488,Route:Relation:1066790,StopPoint:Node:2042462310,48.8777429,2.356457
Line:Relation:1066842,Route:Relation:1066841,StopPoint:Node:2044101791,48.8475373,2.3121731
Line:Relation:1066842,Route:Relation:1066893,StopPoint:Node:259856862,48.8466282,2.3161638
Line:Relation:7741077,Route:Relation:107353,StopPoint:Node:252750230,49.0327237,2.482159
Line:Relation:7097513,Route:Relation:107355,StopPoint:Node:252857708,49.0338991,2.4595162
Line:Relation:3253656,Route:Relation:107357,StopPoint:Node:1827981912,48.961127,2.488832
Line:Relation:6885970,Route:Relation:107358,StopPoint:Node:1637896006,49.0970758,2.5449596
Line:Relation:1057570,Route:Relation:1083263,StopPoint:Node:1005362300,48.834756299999995,2.2474597
Line:Relation:1057570,Route:Relation:1083264,StopPoint:Node:1005362275,48.8349748,2.2475418
Line:Relation:6789691,Route:Relation:1083315,StopPoint:Node:1298780888,48.7771155,2.3225491
Line:Relation:6956562,Route:Relation:1083316,StopPoint:Node:1617097614,48.6964641,2.1847851
Line:Relation:7011212,Route:Relation:1083331,StopPoint:Node:1236570996,48.8827868,2.3443205
Line:Relation:7011211,Route:Relation:1083332,StopPoint:Node:1225461873,48.8680364,2.3640065999999997
Line:Relation:1535460,Route:Relation:1086442,StopPoint:Node:1223052357,48.847493199999995,2.3873542
Line:Relation:1667801,Route:Relation:1086443,StopPoint:Node:1302120971,48.8831857,2.2658568
Line:Relation:7921052,Route:Relation:1086658,StopPoint:Node:1319910485,48.8258782,2.3410452
Line:Relation:6957037,Route:Relation:1086772,StopPoint:Node:1352490966,48.8516012,2.3697219
Line:Relation:1537048,Route:Relation:1086773,StopPoint:Node:1481765826,48.8714182,2.3361457
Line:Relation:6957057,Route:Relation:1086774,StopPoint:Node:1018735959,48.787853899999995,2.0461934999999998
Line:Relation:5830159,Route:Relation:1086775,StopPoint:Node:1564043895,48.7515174,2.3691625
Line:Relation:1535461,Route:Relation:1086778,StopPoint:Node:1307259247,48.8579211,2.3807971
Line:Relation:1102964,Route:Relation:1086940,StopPoint:Node:1166322051,48.819719199999994,2.5119480999999997
Line:Relation:1102964,Route:Relation:1102957,StopPoint:Node:1166321893,48.819814699999995,2.5116959999999997
Line:Relation:107352,Route:Relation:1103948,StopPoint:Node:252857710,49.0358346,2.4703276
