stop_id,name,code,destination,osm:ref:FR:STIF,osm:ref:FR:STIF:ExternalCode_Line
StopPoint:Node:345242715,Cachin Blatreux,G'bus,Goussainville RER,38457,014014099:Gbus
StopPoint:Node:372723106,Carrefour de l'Europe,G'bus,Goussainville RER,38478,014014099:Gbus
StopPoint:Node:5320764716,Chapellerie,30B,Gare de Goussainville,38484,014014030:30B
StopPoint:Node:504477783,Sécurité Sociale,R104,Institut Saint-Dominique (Mortefontaine),419475;38763,014014915:R104
StopPoint:Node:837209773,Les Noues RER,R104,Institut Saint-Dominique (Mortefontaine),419498,014014915:R104
StopPoint:Node:837350590,École Gabriel Péri,R104,Institut Saint-Dominique (Mortefontaine),37989,014014915:R104
StopPoint:Node:5320764716,Chapellerie,R104,Institut Saint-Dominique (Mortefontaine),38484,014014915:R104
StopPoint:Node:1938481314,Petit Argenteuil,R104,Institut Saint-Dominique (Mortefontaine),38681,014014915:R104
StopPoint:Node:1637896007,Monument,R104,Institut Saint-Dominique (Mortefontaine),38664,014014915:R104
StopPoint:Node:4332121625,Poincaré,Licorne,Foyer Jean Rostand (Villeneuve-le-Roi),21646,002002002:LIC
StopPoint:Node:4322931739,Nikos Belloyanis,Licorne,Foyer Jean Rostand (Villeneuve-le-Roi),21649,002002002:LIC
StopPoint:Node:4324200432,Louis Jarrige,Licorne,Foyer Jean Rostand (Villeneuve-le-Roi),10291,002002002:LIC
StopPoint:Node:4114476363,Parc en Seine,Licorne,Foyer Jean Rostand (Villeneuve-le-Roi),35844,002002002:LIC
StopPoint:Node:4325184864,G. du Vair,Licorne,Foyer Jean Rostand (Villeneuve-le-Roi),21651,002002002:LIC
StopPoint:Node:4405437257,Foyer Jean Rostand,Licorne,Foyer Jean Rostand (Villeneuve-le-Roi),10297,002002002:LIC
StopPoint:Node:387899945,Saint-Maur Créteil,TVM,Saint-Maur - Créteil RER,425028,100100014:TVM
StopPoint:Node:4324200432,Louis Jarrige,Centaure,Gare de Villeneuve-le-Roi,10291,002002002:CEN
StopPoint:Node:928458342,Europarc,393,Thiais - Carrefour de la Résistance,21791;21800,100100393:393
StopPoint:Node:2917717260,Mairie d'Alfortville,103,Rungis - Marché International,27509,100100103:103
StopPoint:Node:412847217,8 Mai 1945,182,Villeneuve-Saint-Georges - Villeneuve Triage RER,415252,100100182:182
StopPoint:Node:3889783176,Quartier du Port,582,Choisy-le-Roi RER,20465,100100582:CHOISYB
StopPoint:Node:4331200570,C.T.M.,582,Choisy-le-Roi RER,41589,100100582:CHOISYB
StopPoint:Node:3889783172,Charles Jules Vaillant,582,Choisy-le-Roi RER,25195,100100582:CHOISYB
StopPoint:Node:3889783175,Crèche Jean Effel,582,Choisy-le-Roi RER,25196,100100582:CHOISYB
StopPoint:Node:4323395903,Église Saint-Martin,582,Choisy-le-Roi RER,30203,100100582:CHOISYB
StopPoint:Node:4602412631,Robert Peary,582,Choisy-le-Roi RER,37796,100100582:CHOISYB
StopPoint:Node:4320363654,Rue du Four,582,Choisy-le-Roi RER,30202,100100582:CHOISYB
StopPoint:Node:2271257412,Spinoza,582,Choisy-le-Roi RER,30220,100100582:CHOISYB
StopPoint:Node:392653539,Rue Yves Léger,582,Choisy-le-Roi RER,30223,100100582:CHOISYB
StopPoint:Node:437016462,Mairie de Choisy-le-Roi,582,Choisy-le-Roi RER,30217,100100582:CHOISYB
StopPoint:Node:387479834,Rouget de Lisle,582,Choisy-le-Roi RER,22741,100100582:CHOISYB
StopPoint:Node:392683360,Hugo-Mirabeau,582,Choisy-le-Roi RER,23543,100100582:CHOISYB
StopPoint:Node:1936001337,Théophile Ducloux,582,Choisy-le-Roi RER,28584,100100582:CHOISYB
StopPoint:Node:4330471930,Parc Paysager des Gondoles,582,Choisy-le-Roi RER,30208,100100582:CHOISYB
StopPoint:Node:392654785,Stade Jean Bouin,582,Choisy-le-Roi RER,30210,100100582:CHOISYB
StopPoint:Node:392654786,Collège Jules Valles,582,Choisy-le-Roi RER,30207,100100582:CHOISYB
StopPoint:Node:413428632,Auguste Franchot,582,Choisy-le-Roi RER,30212,100100582:CHOISYB
StopPoint:Node:413428636,Émile Zola,582,Choisy-le-Roi RER,30221,100100582:CHOISYB
StopPoint:Node:422762754,Cimetière,582,Choisy-le-Roi RER,30201,100100582:CHOISYB
StopPoint:Node:422762756,Conservatoire,582,Choisy-le-Roi RER,30214,100100582:CHOISYB
StopPoint:Node:412847217,8 Mai 1945,582,Choisy-le-Roi RER,415252,100100582:CHOISYB
StopPoint:Node:415306760,Clemenceau,582,Choisy-le-Roi RER,30206,100100582:CHOISYB
StopPoint:Node:670930103,Alma,120,Hôpital Saint-Camille,28743,100100120:120
StopPoint:Node:670930575,Guy Moquet,120,Hôpital Saint-Camille,28744,100100120:120
StopPoint:Node:2274067839,Cimetière Parisien – Place du Général de Gaulle,183,Aéroport d'Orly - Terminal Sud,26684,100100183:183
StopPoint:Node:2274067870,Verdun Chateaudun,183,Aéroport d'Orly - Terminal Sud,26682,100100183:183
StopPoint:Node:3551981709,Porte d'Orléans,128,Robinson RER,414775,100100128:128
StopPoint:Node:2076413211,Gabrielle de Guerchy,128,Robinson RER,7842,100100128:128
StopPoint:Node:2344644900,Mairie de Montrouge,128,Robinson RER,35155,100100128:128
StopPoint:Node:447882066,Verdier,128,Robinson RER,35153,100100128:128
StopPoint:Node:447882071,Boileau,128,Robinson RER,35154,100100128:128
StopPoint:Node:447882073,Cimetière Parisien,128,Robinson RER,35148,100100128:128
StopPoint:Node:447882076,Jean-Marin Naudin,128,Robinson RER,413071,100100128:128
StopPoint:Node:447887510,Pasteur,128,Robinson RER,28756,100100128:128
